assessment_id,customer_id,course_id,completion_rate,rating,completion_date
A000059,U0011,C003,0.4,5.0,
A000060,U0012,C008,0.7,,2023-08-01
A000061,U0012,C013,0.73,5.0,
A000062,U0012,C004,0.89,4.5,2024-12-25
A000063,U0013,C001,0.82,,
A000064,U0013,C003,0.41,,
A000065,U0014,C012,0.74,3.5,
A000066,U0015,C004,0.86,3.5,2023-04-13
A000067,U0015,C003,0.39,3.0,
A000068,U0015,C005,0.72,3.0,2024-12-13
A000069,U0016,C005,0.79,3.5,2024-07-21
A000070,U0016,C001,1.0,,2024-10-01
A000071,U0016,C007,0.21,4.0,
A000072,U0016,C014,0.71,4.0,2024-11-17
A000073,U0016,C008,0.8,4.5,2024-09-14
A000074,U0016,C002,0.43,4.0,
A000075,U0016,C012,1.0,3.5,2024-11-16
A000076,U0017,C002,0.77,4.0,2023-11-02
A000077,U0017,C003,0.32,4.5,
A000078,U0017,C006,0.35,4.0,
A000079,U0017,C009,0.83,3.0,
A000080,U0017,C008,0.82,,2024-10-17
A000081,U0017,C010,0.67,3.5,
A000082,U0018,C014,0.77,5.0,2024-09-08
A000083,U0018,C002,0.8,5.0,2024-10-12
A000084,U0018,C001,0.93,5.0,2024-08-29
A000085,U0018,C004,0.88,4.5,2024-11-16
A000086,U0018,C009,0.93,4.5,2024-10-24
A000087,U0018,C013,1.0,5.0,2024-12-20
A000088,U0018,C012,0.93,,2024-11-24
A000089,U0018,C008,0.53,,
A000090,U0018,C007,1.0,,2024-11-25
A000091,U0018,C010,1.0,,2024-12-15
A000092,U0019,C013,1.0,5.0,2024-12-09
A000093,U0019,C007,0.24,4.0,
A000094,U0019,C003,0.97,,2024-10-18
A000095,U0019,C004,1.0,4.5,2024-10-04
A000096,U0019,C015,0.84,4.5,2024-12-02
A000097,U0019,C005,0.29,5.0,
A000098,U0019,C008,0.75,4.5,2024-12-10
A000099,U0019,C001,1.0,,2024-10-21
A000100,U0019,C010,0.87,,2024-12-19
A000101,U0020,C003,0.91,,2024-01-13
A000102,U0020,C013,0.53,,
A000103,U0020,C014,0.53,4.0,
A000104,U0020,C001,1.0,4.0,2024-08-05
A000105,U0021,C006,0.93,5.0,2024-02-10
A000106,U0021,C004,0.86,,2023-11-28
A000107,U0021,C007,0.98,,2024-02-26
A000108,U0021,C012,0.49,5.0,
A000109,U0021,C013,0.9,4.5,
A000110,U0022,C005,0.83,5.0,2024-05-03
A000111,U0022,C012,0.28,4.0,
A000112,U0022,C010,0.44,3.5,
A000113,U0022,C015,0.2,4.0,
A000114,U0022,C004,0.86,3.0,2024-05-26
A000115,U0023,C007,0.7,4.0,
A000116,U0023,C011,0.97,4.0,2024-07-12
A000117,U0023,C006,0.6,4.0,
A000118,U0024,C004,1.0,4.5,2024-12-11
A000119,U0024,C012,1.0,5.0,2024-12-26
A000120,U0024,C015,0.98,,2024-12-22
A000121,U0024,C013,1.0,,2024-12-28
A000122,U0024,C002,0.8,4.5,2024-12-07
A000123,U0024,C014,0.0,4.0,
A000124,U0024,C001,1.0,,2024-12-29
A000125,U0024,C010,0.98,,2024-12-30
A000126,U0024,C009,1.0,4.0,2024-12-28
A000127,U0025,C011,0.18,3.5,
A000128,U0025,C005,0.83,4.0,2024-06-15
A000129,U0025,C014,0.66,3.5,2024-12-27
A000130,U0026,C006,0.56,,
A000131,U0026,C005,0.15,4.0,
A000132,U0026,C015,0.97,3.5,2024-12-28
A000133,U0027,C008,0.76,3.5,2023-04-08
A000134,U0027,C001,0.99,4.5,2023-10-08
A000135,U0027,C004,0.88,5.0,2024-08-13
A000136,U0027,C009,1.0,,2024-11-14
A000137,U0027,C012,0.93,,2024-12-11
A000138,U0028,C010,0.9,4.5,2024-09-02
A000139,U0028,C006,0.97,4.0,2024-12-22
A000140,U0028,C009,0.94,3.5,2024-11-23
A000141,U0028,C011,0.21,5.0,
A000142,U0029,C015,0.94,5.0,2023-01-21
A000143,U0029,C006,1.0,5.0,2022-10-19
A000144,U0029,C011,0.97,,2023-01-28
A000145,U0029,C009,1.0,,2023-06-11
A000146,U0029,C003,1.0,,2024-01-23
A000147,U0029,C008,0.34,3.5,
A000148,U0029,C014,0.84,4.0,2024-03-22
A000149,U0029,C005,0.12,5.0,
A000150,U0029,C013,1.0,,2024-08-19
A000151,U0029,C002,0.92,4.5,2024-10-06
A000152,U0029,C012,1.0,,2024-12-26
A000153,U0029,C004,1.0,4.5,2024-12-30
A000154,U0030,C014,0.69,3.0,2022-09-14
A000155,U0030,C007,0.11,3.5,
A000156,U0030,C013,0.58,4.5,
A000157,U0030,C005,0.14,3.0,
A000158,U0030,C012,0.98,4.5,2024-08-27
A000159,U0031,C006,1.0,4.5,2024-01-01
A000160,U0031,C008,0.84,,2024-02-14
A000161,U0031,C011,0.86,,
A000162,U0031,C001,0.9,,2024-12-02
A000163,U0031,C002,0.92,4.0,2024-11-27
A000164,U0032,C011,1.0,4.0,2024-03-21
A000165,U0032,C013,1.0,4.0,2024-04-13
A000166,U0032,C009,1.0,4.5,2024-07-07
A000167,U0032,C004,0.79,3.5,
A000168,U0033,C004,0.23,3.0,
A000169,U0033,C005,0.26,3.5,
A000170,U0033,C013,0.27,4.0,
A000171,U0033,C002,0.18,4.5,
A000172,U0033,C008,0.31,2.5,
A000173,U0033,C001,0.37,3.5,
A000174,U0034,C003,0.5,5.0,
A000175,U0034,C004,0.45,,
A000176,U0034,C005,0.76,,2023-12-08
A000177,U0034,C014,0.69,3.5,2024-06-01
A000178,U0034,C002,0.77,,2024-09-08
A000179,U0034,C009,0.92,5.0,2024-09-11
A000180,U0034,C011,0.97,4.0,2024-12-20
A000181,U0035,C008,0.49,2.5,
A000182,U0035,C003,0.78,,
A000183,U0035,C011,0.55,3.5,
A000184,U0035,C006,0.82,3.5,
A000185,U0035,C015,0.41,2.5,
A000186,U0036,C013,1.0,4.5,2022-07-28
A000187,U0036,C004,0.93,4.0,2022-12-28
A000188,U0036,C009,1.0,,2023-02-06
A000189,U0036,C012,0.36,,
A000190,U0036,C002,0.78,5.0,2023-06-17
A000191,U0036,C010,0.87,4.0,2023-07-04
A000192,U0036,C006,1.0,5.0,2023-07-18
A000193,U0036,C005,0.77,5.0,2024-01-21
A000194,U0036,C014,0.7,,2024-06-05
A000195,U0036,C001,0.92,4.5,2024-11-14
A000196,U0036,C008,0.84,5.0,2024-10-02
A000197,U0036,C011,0.98,,2024-12-06
A000198,U0037,C012,0.96,,2024-12-12
A000199,U0037,C005,0.85,3.5,2024-11-30
A000200,U0037,C003,0.95,4.0,2024-12-23
A000201,U0037,C001,0.92,3.5,2024-12-29
A000202,U0038,C015,1.0,,2022-04-30
A000203,U0038,C011,1.0,4.5,2023-01-29
A000204,U0038,C002,0.91,4.0,2023-05-12
A000205,U0038,C005,0.75,4.5,2023-08-16
A000206,U0038,C008,0.84,4.0,2024-03-07
A000207,U0038,C001,0.97,,2024-01-25
A000208,U0038,C004,0.86,,2024-10-05
A000209,U0038,C007,1.0,4.5,2024-12-12
A000210,U0039,C013,0.26,4.5,
A000211,U0039,C008,0.08,3.5,
A000212,U0039,C012,1.0,3.5,2024-12-05
A000213,U0039,C005,0.35,3.0,
A000214,U0039,C004,0.31,3.5,
A000215,U0039,C011,0.41,,
A000216,U0039,C006,0.67,,
A000217,U0039,C009,0.75,3.5,
A000218,U0039,C003,0.13,,
A000219,U0040,C010,0.9,,2023-08-06
A000220,U0040,C013,1.0,3.5,2023-12-13
A000221,U0040,C003,1.0,4.0,2024-11-21
A000222,U0040,C015,0.97,4.0,2024-11-04
A000223,U0040,C006,0.38,,
A000224,U0041,C009,0.4,4.5,
A000225,U0041,C012,1.0,,2023-11-12
A000226,U0041,C005,0.76,4.5,2024-02-14
A000227,U0041,C013,1.0,5.0,2024-05-22
A000228,U0042,C006,0.95,4.0,2024-01-14
A000229,U0042,C003,0.96,5.0,2023-12-27
A000230,U0042,C010,0.96,4.5,2024-03-20
A000231,U0042,C009,1.0,4.5,2024-07-01
A000232,U0042,C001,0.93,4.5,2024-04-19
A000233,U0042,C007,0.66,,
A000234,U0042,C013,0.44,4.5,
A000235,U0042,C012,0.92,4.5,2024-08-26
A000236,U0042,C011,0.3,,
A000237,U0042,C004,0.93,,2024-12-31
A000238,U0043,C006,1.0,,2024-12-27
A000239,U0043,C010,0.89,4.5,2024-09-06
A000240,U0043,C011,1.0,5.0,2024-12-17
A000241,U0043,C015,0.88,,2024-09-13
A000242,U0043,C007,1.0,4.5,2024-10-28
A000243,U0043,C014,0.24,4.5,
A000244,U0043,C002,0.82,4.5,2024-11-25
A000245,U0043,C009,0.91,,2024-12-11
A000246,U0043,C012,0.96,5.0,2024-12-18
A000247,U0043,C004,0.94,4.5,2024-12-21
A000248,U0043,C001,0.4,4.5,
A000249,U0043,C005,0.84,,2024-12-22
A000250,U0044,C006,1.0,,2024-05-04
A000251,U0044,C014,0.8,3.5,2024-04-11
A000252,U0044,C010,0.96,,2024-09-22
A000253,U0045,C003,0.97,4.0,2023-01-12
A000254,U0045,C007,0.92,3.0,2023-02-04
A000255,U0045,C001,0.95,,2023-05-15
A000256,U0045,C011,0.93,3.5,
A000257,U0045,C009,1.0,4.0,2023-11-25
A000258,U0045,C015,0.09,,
A000259,U0046,C004,0.95,4.5,2024-07-23
A000260,U0046,C013,0.81,4.0,
A000261,U0046,C011,1.0,4.0,2024-12-30
A000262,U0047,C012,1.0,4.5,2023-03-20
A000263,U0047,C002,0.94,5.0,2023-06-28
A000264,U0047,C015,0.85,4.0,2023-05-30
A000265,U0047,C005,0.71,4.0,2024-02-23
A000266,U0047,C004,1.0,,2024-02-07
A000267,U0047,C011,0.96,,2024-09-14
A000268,U0047,C014,0.0,4.5,
A000269,U0047,C001,1.0,4.5,2024-12-10
A000270,U0047,C007,0.67,,
A000271,U0048,C014,0.68,3.5,2024-04-15
A000272,U0048,C005,0.71,3.0,2024-07-17
A000273,U0048,C012,1.0,4.0,2024-07-03
A000274,U0048,C013,0.86,,
A000275,U0048,C002,0.83,4.5,2024-12-28
A000276,U0049,C004,1.0,4.5,2024-03-04
A000277,U0049,C005,0.77,4.0,2024-04-15
A000278,U0049,C003,0.94,5.0,2024-08-15
A000279,U0049,C013,1.0,4.5,2024-10-21
A000280,U0049,C014,0.0,4.5,
A000281,U0049,C009,0.97,5.0,2024-11-02
A000282,U0049,C012,0.91,4.5,2024-11-01
A000283,U0049,C002,0.76,4.5,2024-12-01
A000284,U0049,C015,0.95,5.0,2024-12-01
A000285,U0050,C001,1.0,,2023-11-05
A000286,U0050,C014,0.01,,
A000287,U0050,C015,0.23,,
A000288,U0051,C004,0.17,2.0,
A000289,U0052,C002,0.35,,
A000290,U0052,C012,0.88,,2024-01-17
A000291,U0052,C001,0.92,,2024-01-27
A000292,U0052,C010,1.0,,2024-08-07
A000293,U0052,C008,0.0,3.0,
A000294,U0053,C008,0.74,4.0,2022-11-04
A000295,U0053,C010,0.44,4.0,
A000296,U0053,C012,0.33,,
A000297,U0053,C004,0.3,3.0,
A000298,U0053,C005,0.43,2.5,
A000299,U0053,C001,0.62,2.5,
A000300,U0053,C014,0.57,2.5,
A000301,U0053,C015,0.87,2.5,2024-06-26
A000302,U0053,C002,0.4,3.5,
A000303,U0053,C013,0.85,4.5,
A000304,U0054,C014,0.57,3.5,
A000305,U0054,C008,0.57,,
A000306,U0054,C009,0.35,3.5,
A000307,U0054,C013,0.55,,
A000308,U0054,C011,0.19,,
A000309,U0054,C003,0.82,3.5,
A000310,U0055,C012,1.0,5.0,2024-12-03
A000311,U0055,C013,1.0,4.5,2024-11-29
A000312,U0055,C006,0.95,,2024-12-22
A000313,U0055,C015,1.0,,2024-12-30
A000314,U0055,C007,0.96,3.5,2024-12-30
A000315,U0055,C009,0.92,4.5,2024-12-19
A000316,U0056,C008,0.76,4.5,2022-11-15
A000317,U0056,C015,0.83,3.5,2023-04-17
A000318,U0056,C007,1.0,4.0,2023-05-20
A000319,U0056,C014,0.44,,
A000320,U0057,C011,0.88,2.0,
A000321,U0057,C014,0.0,2.0,
A000322,U0058,C009,0.47,4.5,
A000323,U0058,C004,0.87,4.0,2024-05-21
A000324,U0058,C007,0.79,2.5,
A000325,U0058,C001,0.64,3.5,
A000326,U0059,C005,0.81,,2022-05-19
A000327,U0059,C011,0.34,,
A000328,U0059,C009,1.0,4.5,2023-09-12
A000329,U0059,C014,0.74,4.0,2023-10-27
A000330,U0059,C003,0.96,4.5,2024-06-14
A000331,U0059,C004,1.0,3.5,2024-10-09
A000332,U0059,C015,0.97,4.5,2024-11-28
A000333,U0060,C011,1.0,5.0,2023-04-20
A000334,U0060,C009,1.0,,2023-06-29
A000335,U0060,C006,1.0,,2023-12-02
A000336,U0060,C008,0.86,4.5,2024-03-31
A000337,U0060,C012,0.97,5.0,2024-05-02
A000338,U0060,C002,0.78,4.5,2024-04-15
A000339,U0060,C010,0.92,,2024-12-26
A000340,U0060,C015,0.44,4.5,
A000341,U0060,C005,0.9,4.5,2024-12-28
A000342,U0061,C001,1.0,,2022-03-30
A000343,U0061,C004,0.15,4.5,
A000344,U0061,C007,1.0,3.0,2024-10-23
A000345,U0062,C005,0.59,4.0,
A000346,U0062,C004,0.94,4.5,2023-12-03
A000347,U0062,C008,0.77,4.5,2023-11-20
A000348,U0062,C003,1.0,4.5,2023-10-02
A000349,U0062,C007,0.89,5.0,2023-10-27
A000350,U0062,C010,0.88,4.0,2023-12-07
A000351,U0062,C009,0.24,5.0,
A000352,U0062,C015,0.94,4.5,2024-07-24
A000353,U0062,C011,1.0,,2024-10-19
A000354,U0062,C013,1.0,4.5,2024-11-03
A000355,U0062,C006,1.0,,2024-11-23
A000356,U0063,C011,0.67,5.0,
A000357,U0063,C015,0.87,3.5,2024-02-19
A000358,U0063,C009,0.42,,
A000359,U0064,C004,0.3,,
A000360,U0064,C006,0.95,,2024-12-10
A000361,U0064,C002,0.92,4.5,2024-09-28
A000362,U0064,C013,0.47,4.0,
A000363,U0065,C007,0.36,3.0,
A000364,U0065,C009,0.79,4.0,
A000365,U0065,C014,0.59,,
A000366,U0065,C004,0.73,3.5,
A000367,U0065,C003,0.46,4.5,
A000368,U0065,C005,0.32,3.5,
A000369,U0065,C012,0.37,3.5,
A000370,U0065,C013,0.36,3.5,
A000371,U0065,C010,0.94,3.5,2024-12-08
A000372,U0066,C009,0.3,3.5,
A000373,U0066,C006,0.69,2.0,
A000374,U0066,C007,0.21,,
A000375,U0066,C014,0.62,3.5,
A000376,U0066,C004,0.73,,
A000377,U0066,C005,0.34,3.5,
A000378,U0066,C013,0.76,5.0,
A000379,U0066,C010,0.15,,
A000380,U0067,C005,0.89,3.0,2023-07-01
A000381,U0067,C001,0.27,3.0,
A000382,U0068,C005,0.75,,2024-03-21
A000383,U0068,C004,1.0,3.5,2024-04-13
A000384,U0069,C005,0.29,4.0,
A000385,U0069,C002,0.59,4.0,
A000386,U0069,C013,0.85,2.5,
A000387,U0069,C001,1.0,2.5,2023-10-11
A000388,U0069,C003,0.25,,
A000389,U0069,C012,0.67,3.0,
A000390,U0070,C013,0.65,5.0,
A000391,U0070,C007,0.1,,
A000392,U0070,C010,0.71,4.5,
A000393,U0070,C005,0.09,2.5,
A000394,U0070,C008,0.6,3.5,
A000395,U0070,C009,0.23,4.0,
A000396,U0070,C002,0.04,,
A000397,U0071,C005,0.53,4.0,
A000398,U0071,C004,0.86,3.5,2024-03-25
A000399,U0071,C015,0.95,,2024-04-14
A000400,U0071,C010,1.0,,2024-06-27
A000401,U0071,C009,0.32,4.5,
A000402,U0071,C013,0.72,4.5,
A000403,U0072,C006,0.54,4.0,
A000404,U0072,C003,1.0,3.5,2024-06-19
A000405,U0072,C012,0.89,,2024-09-27
A000406,U0072,C008,0.85,4.0,2024-10-28
A000407,U0072,C004,0.25,4.0,
A000408,U0072,C015,0.88,4.5,2024-08-19
A000409,U0072,C014,0.49,3.5,
A000410,U0073,C001,1.0,4.5,2024-12-29
A000411,U0073,C009,0.98,4.5,2024-08-24
A000412,U0073,C003,0.89,4.5,2024-11-02
A000413,U0073,C010,1.0,4.0,2024-11-23
A000414,U0073,C012,1.0,5.0,2024-12-22
A000415,U0073,C015,0.93,4.0,2024-11-02
A000416,U0073,C007,1.0,,2024-12-01
A000417,U0074,C010,0.37,4.0,
A000418,U0075,C003,0.97,2.5,2023-11-01
A000419,U0075,C007,0.57,3.0,
A000420,U0075,C014,0.27,4.0,
A000421,U0075,C008,0.21,3.5,
A000422,U0075,C015,0.67,,
A000423,U0075,C012,0.26,3.5,
A000424,U0075,C009,0.32,4.5,
A000425,U0075,C010,0.39,4.0,
A000426,U0076,C014,0.85,,2024-05-18
A000427,U0076,C007,0.51,,
A000428,U0077,C014,0.8,3.5,2024-12-29
A000429,U0078,C010,0.81,3.0,
A000430,U0078,C006,0.42,4.0,
A000431,U0078,C013,0.86,,
A000432,U0078,C004,0.98,3.5,2024-12-19
A000433,U0078,C007,0.71,3.5,
A000434,U0078,C014,0.48,2.0,
A000435,U0079,C013,0.51,,
A000436,U0079,C002,0.61,,
A000437,U0079,C006,0.98,,2023-07-17
A000438,U0079,C001,0.95,,2023-09-25
A000439,U0079,C012,1.0,4.5,2024-11-26
A000440,U0079,C008,0.85,4.0,2024-12-19
A000441,U0080,C004,0.92,4.5,2022-06-08
A000442,U0080,C010,0.78,3.0,
A000443,U0080,C009,0.3,3.0,
A000444,U0081,C011,1.0,4.5,2024-10-29
A000445,U0081,C007,1.0,,2024-09-10
A000446,U0081,C014,0.75,4.0,2024-10-24
A000447,U0081,C004,0.85,,2024-09-24
A000448,U0081,C015,0.96,5.0,2024-12-25
A000449,U0081,C002,0.82,,2024-11-25
A000450,U0081,C009,0.93,,2024-12-25
A000451,U0081,C003,0.9,4.5,2024-12-06
A000452,U0081,C013,1.0,,2024-11-25
A000453,U0081,C010,0.9,,2024-12-14
A000454,U0081,C006,0.99,4.5,2024-12-16
A000455,U0081,C012,1.0,,2024-12-30
A000456,U0082,C015,0.69,5.0,
A000457,U0083,C011,1.0,,2023-04-27
A000458,U0083,C002,0.32,3.5,
A000459,U0083,C012,1.0,5.0,2024-07-12
A000460,U0083,C003,0.17,5.0,
A000461,U0084,C013,0.24,4.0,
A000462,U0084,C015,0.4,,
A000463,U0085,C012,1.0,,2023-08-23
A000464,U0085,C005,0.29,4.0,
A000465,U0085,C014,0.79,4.0,2024-04-20
A000466,U0085,C010,0.71,5.0,
A000467,U0085,C011,1.0,4.5,2024-02-23
A000468,U0085,C009,0.87,5.0,
A000469,U0085,C002,0.92,4.5,2024-11-17
A000470,U0085,C003,0.94,,2024-12-31
A000471,U0086,C008,0.84,,2023-12-18
A000472,U0086,C011,1.0,4.5,2024-01-23
A000473,U0086,C006,0.97,4.5,2024-07-23
A000474,U0086,C009,0.99,5.0,2024-10-23
A000475,U0086,C010,1.0,4.0,2024-11-11
A000476,U0086,C012,1.0,,2024-12-02
A000477,U0087,C007,0.95,,2024-11-26
A000478,U0087,C003,0.88,,2024-12-30
A000479,U0088,C005,0.78,4.5,2024-11-26
A000480,U0088,C013,0.68,,
A000481,U0088,C001,1.0,5.0,2024-12-01
A000482,U0088,C004,1.0,5.0,2024-12-28
A000483,U0088,C009,1.0,4.5,2024-12-07
A000484,U0089,C002,0.23,,
A000485,U0090,C003,0.3,,
A000486,U0090,C012,1.0,3.0,2024-01-07
A000487,U0091,C006,1.0,4.5,2024-12-24
A000488,U0091,C003,1.0,,2024-12-09
A000489,U0091,C013,0.48,3.0,
A000490,U0092,C006,1.0,5.0,2023-06-19
A000491,U0092,C009,0.23,,
A000492,U0092,C011,0.75,,
A000493,U0092,C003,1.0,,2024-08-25
A000494,U0093,C011,1.0,,2023-01-04
A000495,U0093,C004,0.97,,2023-02-09
A000496,U0093,C013,1.0,4.5,2023-01-26
A000497,U0093,C009,1.0,5.0,2024-01-22
A000498,U0093,C005,0.15,4.5,
A000499,U0093,C014,0.75,4.5,2024-04-13
A000500,U0093,C002,0.88,,2024-06-26
A000501,U0093,C003,1.0,,2024-05-25
A000502,U0093,C010,0.99,4.5,2024-11-08
A000503,U0093,C001,0.3,4.5,
A000504,U0093,C012,0.26,,
A000505,U0094,C012,0.11,3.5,
A000506,U0094,C001,0.16,2.5,
A000507,U0094,C015,0.92,3.5,2024-03-02
A000508,U0094,C008,0.85,3.5,2024-04-22
A000509,U0094,C014,0.58,,
A000510,U0095,C006,0.98,4.0,2023-08-03
A000511,U0095,C008,0.43,,
A000512,U0095,C013,1.0,4.5,2024-11-26
A000513,U0096,C013,0.77,4.0,
A000514,U0096,C014,0.0,4.0,
A000515,U0096,C012,0.93,4.5,2024-12-29
A000516,U0097,C014,0.82,3.5,2024-10-05
A000517,U0097,C003,1.0,,2024-10-12
A000518,U0097,C007,1.0,,2024-10-09
A000519,U0097,C001,0.99,5.0,2024-09-15
A000520,U0097,C015,0.92,5.0,2024-12-08
A000521,U0097,C011,1.0,,2024-12-15
A000522,U0097,C013,1.0,,2024-10-14
A000523,U0097,C006,1.0,4.5,2024-11-24
A000524,U0097,C002,0.83,4.5,2024-12-23
A000525,U0097,C010,0.17,5.0,
A000526,U0097,C009,0.95,,2024-12-16
A000527,U0098,C012,1.0,,2023-05-20
A000528,U0098,C005,0.77,,2023-07-24
A000529,U0098,C014,0.8,,2023-10-13
A000530,U0098,C013,1.0,5.0,2023-10-10
A000531,U0098,C008,0.7,4.0,2024-04-06
A000532,U0098,C010,0.18,,
A000533,U0098,C006,0.93,,2024-03-21
A000534,U0098,C015,0.83,,2024-06-21
A000535,U0098,C011,0.96,5.0,2024-07-13
A000536,U0098,C009,0.93,4.5,2024-12-15
A000537,U0098,C003,1.0,4.5,2024-12-07
A000538,U0099,C004,0.81,4.0,
A000539,U0099,C006,0.95,,2023-09-12
A000540,U0099,C008,0.43,5.0,
A000541,U0099,C002,0.06,,
A000542,U0099,C013,1.0,,2024-10-18
A000543,U0099,C012,1.0,,2024-11-03
A000544,U0099,C007,0.78,,
A000545,U0100,C011,1.0,5.0,2023-12-18
A000546,U0100,C010,0.92,4.5,2024-04-09
A000547,U0100,C006,0.94,5.0,2024-07-12
A000548,U0100,C015,1.0,,2024-06-20
A000549,U0100,C009,0.32,5.0,
A000550,U0100,C014,0.77,5.0,2024-08-26
A000551,U0100,C013,1.0,4.0,2024-10-27
A000552,U0100,C007,1.0,,2024-08-15
A000553,U0100,C012,1.0,5.0,2024-11-13
A000554,U0100,C003,0.98,4.5,2024-10-21
A000555,U0100,C004,0.94,5.0,2024-12-13
A000556,U0100,C005,0.79,4.0,2024-11-17
A000557,U0101,C006,0.98,4.5,2023-03-23
A000558,U0101,C001,0.19,4.5,
A000559,U0101,C003,0.14,5.0,
A000560,U0101,C011,1.0,4.5,2024-04-22
A000561,U0101,C010,0.2,,
A000562,U0101,C013,0.34,4.5,
A000563,U0101,C012,0.95,4.0,2024-12-13
A000564,U0102,C015,0.55,,
A000565,U0102,C002,0.54,4.5,
A000566,U0102,C001,0.6,3.5,
A000567,U0102,C006,1.0,3.5,2024-09-27
A000568,U0102,C014,0.41,2.5,
A000569,U0102,C010,0.17,3.5,
A000570,U0103,C014,0.3,,
A000571,U0103,C011,0.98,,2024-12-29
A000572,U0103,C006,0.49,3.5,
A000573,U0104,C009,1.0,4.0,2024-04-20
A000574,U0104,C001,0.96,,2024-09-15
A000575,U0104,C012,0.5,4.0,
A000576,U0104,C005,0.88,3.5,2024-12-23
A000577,U0105,C003,0.87,4.0,
A000578,U0105,C006,0.78,,
A000579,U0105,C004,0.99,,2024-12-24
A000580,U0105,C011,0.98,4.0,2024-11-30
A000581,U0105,C001,1.0,5.0,2024-12-31
A000582,U0106,C009,0.98,5.0,2023-10-06
A000583,U0106,C006,0.76,5.0,
A000584,U0106,C005,0.71,4.5,2023-11-16
A000585,U0106,C002,0.8,4.0,2024-01-28
A000586,U0106,C015,0.84,4.0,2024-09-12
A000587,U0106,C003,0.99,4.5,2024-12-06
A000588,U0106,C011,1.0,5.0,2024-12-31
A000589,U0107,C001,0.14,,
A000590,U0107,C010,0.49,4.5,
A000591,U0107,C002,0.76,3.5,2024-12-12
A000592,U0108,C002,0.77,,2024-05-31
A000593,U0108,C008,0.79,4.0,2024-03-29
A000594,U0108,C003,0.16,,
A000595,U0108,C010,0.89,4.0,2024-12-27
A000596,U0109,C008,0.88,,2024-03-08
A000597,U0109,C014,0.62,,
A000598,U0109,C015,0.9,4.0,2024-09-18
A000599,U0109,C013,1.0,4.0,2024-10-15
A000600,U0109,C009,1.0,4.0,2024-12-17
A000601,U0110,C004,0.46,3.5,
A000602,U0110,C010,0.13,4.0,
A000603,U0111,C011,0.53,,
A000604,U0112,C012,0.14,,
A000605,U0112,C001,0.48,,
A000606,U0112,C005,0.86,,2023-08-16
A000607,U0112,C006,0.93,4.5,2024-04-23
A000608,U0112,C003,1.0,4.0,2024-04-12
A000609,U0113,C006,0.17,5.0,
A000610,U0113,C012,1.0,4.0,2024-04-02
A000611,U0113,C004,0.86,,2024-10-28
