login_id,customer_id,course_id,login_date,login_duration
L0000071,U0002,C007,2024-04-26,87
L0000072,U0002,C007,2024-05-02,107
L0000073,U0002,C007,2024-05-06,50
L0000074,U0002,C007,2024-05-22,119
L0000075,U0002,C007,2024-05-30,111
L0000076,U0002,C008,2024-09-24,34
L0000077,U0002,C008,2024-10-05,95
L0000078,U0002,C008,2024-10-09,95
L0000079,U0002,C008,2024-10-13,50
L0000080,U0002,C008,2024-10-16,85
L0000081,U0002,C008,2024-10-20,114
L0000082,U0002,C008,2024-10-25,96
L0000083,U0002,C008,2024-11-19,107
L0000084,U0002,C008,2024-12-12,28
L0000085,U0002,C008,2024-12-13,89
L0000086,U0002,C008,2024-12-17,105
L0000087,U0002,C008,2024-12-23,107
L0000088,U0002,C008,2024-12-29,75
L0000089,U0003,C001,2023-10-14,33
L0000090,U0003,C001,2023-10-25,50
L0000091,U0003,C001,2023-11-04,20
L0000092,U0003,C001,2023-11-07,19
L0000093,U0003,C001,2024-01-21,58
L0000094,U0003,C001,2024-01-23,46
L0000095,U0003,C001,2024-01-28,49
L0000096,U0003,C001,2024-01-30,57
L0000097,U0003,C001,2024-02-08,28
L0000098,U0003,C001,2024-02-10,31
L0000099,U0003,C012,2024-05-01,57
L0000100,U0003,C012,2024-05-16,51
L0000101,U0003,C012,2024-06-19,27
L0000102,U0003,C012,2024-08-27,45
L0000103,U0004,C008,2024-10-13,105
L0000104,U0004,C008,2024-10-18,46
L0000105,U0004,C008,2024-10-21,103
L0000106,U0004,C008,2024-11-03,67
L0000107,U0004,C008,2024-11-03,150
L0000108,U0004,C008,2024-11-12,141
L0000109,U0004,C008,2024-11-17,43
L0000110,U0004,C008,2024-11-18,121
L0000111,U0004,C008,2024-11-21,100
L0000112,U0004,C008,2024-12-13,105
L0000113,U0004,C008,2024-12-16,88
L0000114,U0004,C008,2024-12-18,133
L0000115,U0004,C008,2024-12-31,43
L0000116,U0004,C009,2024-10-16,131
L0000117,U0004,C009,2024-10-16,125
L0000118,U0004,C009,2024-10-20,108
L0000119,U0004,C009,2024-10-25,99
L0000120,U0004,C009,2024-10-30,96
L0000121,U0004,C009,2024-11-03,74
L0000122,U0004,C009,2024-11-05,31
L0000123,U0004,C009,2024-11-06,39
L0000124,U0004,C009,2024-11-12,98
L0000125,U0004,C009,2024-11-13,91
L0000126,U0004,C009,2024-11-16,143
L0000127,U0004,C009,2024-11-25,148
L0000128,U0004,C009,2024-12-04,88
L0000129,U0004,C009,2024-12-11,86
L0000130,U0004,C009,2024-12-15,140
L0000131,U0004,C009,2024-12-21,112
L0000132,U0004,C009,2024-12-22,72
L0000133,U0004,C009,2024-12-27,123
L0000134,U0004,C009,2024-12-27,144
L0000135,U0004,C009,2024-12-31,30
L0000136,U0004,C013,2024-10-20,113
L0000137,U0004,C013,2024-10-22,91
L0000138,U0004,C013,2024-10-30,48
L0000139,U0004,C013,2024-10-31,128
L0000140,U0004,C013,2024-10-31,74
L0000141,U0004,C013,2024-11-10,146
L0000142,U0004,C013,2024-11-30,125
L0000143,U0004,C013,2024-11-30,127
L0000144,U0004,C013,2024-11-30,97
L0000145,U0004,C013,2024-12-18,53
L0000146,U0004,C013,2024-12-22,39
L0000147,U0004,C013,2024-12-23,99
L0000148,U0004,C013,2024-12-28,48
L0000149,U0004,C013,2024-12-30,84
L0000150,U0004,C013,2024-12-31,103
L0000151,U0004,C006,2024-11-07,143
L0000152,U0004,C006,2024-11-14,117
L0000153,U0004,C006,2024-11-27,51
L0000154,U0004,C006,2024-11-30,59
L0000155,U0004,C006,2024-12-12,142
L0000156,U0004,C006,2024-12-18,129
L0000157,U0004,C006,2024-12-22,144
L0000158,U0004,C006,2024-12-26,60
L0000159,U0004,C006,2024-12-27,75
L0000160,U0004,C006,2024-12-29,124
L0000161,U0004,C011,2024-11-01,145
L0000162,U0004,C011,2024-11-16,37
L0000163,U0004,C011,2024-11-19,115
L0000164,U0004,C011,2024-11-25,31
L0000165,U0004,C011,2024-11-30,123
L0000166,U0004,C011,2024-12-06,45
L0000167,U0004,C011,2024-12-11,132
L0000168,U0004,C011,2024-12-14,141
L0000169,U0004,C011,2024-12-19,97
L0000170,U0004,C011,2024-12-20,148
L0000171,U0004,C011,2024-12-20,60
L0000172,U0004,C011,2024-12-22,145
L0000173,U0004,C011,2024-12-28,123
L0000174,U0004,C011,2024-12-28,101
L0000175,U0004,C012,2024-11-03,51
L0000176,U0004,C012,2024-11-10,75
L0000177,U0004,C012,2024-11-11,64
L0000178,U0004,C012,2024-11-13,130
L0000179,U0004,C012,2024-11-13,62
L0000180,U0004,C012,2024-11-15,147
L0000181,U0004,C012,2024-11-16,61
L0000182,U0004,C012,2024-11-18,68
L0000183,U0004,C012,2024-11-19,132
L0000184,U0004,C012,2024-11-20,124
L0000185,U0004,C012,2024-11-23,136
L0000186,U0004,C012,2024-11-29,113
L0000187,U0004,C012,2024-12-16,121
L0000188,U0004,C012,2024-12-23,67
L0000189,U0004,C012,2024-12-23,131
L0000190,U0004,C012,2024-12-24,75
L0000191,U0004,C012,2024-12-24,42
L0000192,U0004,C012,2024-12-31,81
L0000193,U0004,C004,2024-11-06,75
L0000194,U0004,C004,2024-11-16,107
L0000195,U0004,C004,2024-11-19,50
L0000196,U0004,C004,2024-11-19,125
L0000197,U0004,C004,2024-11-25,139
L0000198,U0004,C004,2024-11-26,147
L0000199,U0004,C004,2024-11-27,55
L0000200,U0004,C004,2024-11-28,38
L0000201,U0004,C004,2024-11-29,88
L0000202,U0004,C004,2024-12-01,79
L0000203,U0004,C004,2024-12-05,125
L0000204,U0004,C004,2024-12-08,128
L0000205,U0004,C004,2024-12-15,48
L0000206,U0004,C004,2024-12-25,53
L0000207,U0004,C004,2024-12-25,65
L0000208,U0004,C004,2024-12-26,115
L0000209,U0004,C004,2024-12-27,43
L0000210,U0004,C004,2024-12-28,64
L0000211,U0004,C001,2024-11-15,73
L0000212,U0004,C001,2024-11-19,130
L0000213,U0004,C001,2024-11-22,60
L0000214,U0004,C001,2024-11-23,144
L0000215,U0004,C001,2024-11-25,129
L0000216,U0004,C001,2024-11-26,122
L0000217,U0004,C001,2024-11-28,88
L0000218,U0004,C001,2024-12-06,141
L0000219,U0004,C001,2024-12-08,50
L0000220,U0004,C001,2024-12-12,106
L0000221,U0004,C001,2024-12-19,135
L0000222,U0004,C001,2024-12-20,66
L0000223,U0004,C001,2024-12-28,74
L0000224,U0004,C001,2024-12-31,136
L0000225,U0004,C001,2024-12-31,144
L0000226,U0004,C002,2024-11-23,128
L0000227,U0004,C002,2024-11-25,60
L0000228,U0004,C002,2024-11-29,82
L0000229,U0004,C002,2024-12-02,48
L0000230,U0004,C002,2024-12-11,78
L0000231,U0004,C002,2024-12-11,61
L0000232,U0004,C002,2024-12-15,45
L0000233,U0004,C002,2024-12-17,39
L0000234,U0004,C002,2024-12-17,37
L0000235,U0004,C002,2024-12-18,89
L0000236,U0004,C002,2024-12-28,136
L0000237,U0004,C014,2024-11-15,54
L0000238,U0004,C014,2024-11-16,49
L0000239,U0004,C014,2024-11-18,133
L0000240,U0004,C014,2024-11-20,79
L0000241,U0004,C014,2024-12-01,133
L0000242,U0004,C014,2024-12-06,128
L0000243,U0004,C014,2024-12-07,111
L0000244,U0004,C014,2024-12-09,67
L0000245,U0004,C014,2024-12-22,72
L0000246,U0004,C014,2024-12-23,117
L0000247,U0004,C014,2024-12-26,81
L0000248,U0004,C010,2024-11-11,39
L0000249,U0004,C010,2024-11-11,133
L0000250,U0004,C010,2024-11-19,86
L0000251,U0004,C010,2024-11-25,112
L0000252,U0004,C010,2024-11-27,108
L0000253,U0004,C010,2024-11-27,104
L0000254,U0004,C010,2024-12-03,122
L0000255,U0004,C010,2024-12-06,92
L0000256,U0004,C010,2024-12-06,39
L0000257,U0004,C010,2024-12-08,102
L0000258,U0004,C010,2024-12-12,96
L0000259,U0004,C010,2024-12-16,110
L0000260,U0004,C010,2024-12-17,148
L0000261,U0004,C010,2024-12-20,31
L0000262,U0004,C010,2024-12-22,116
L0000263,U0004,C010,2024-12-24,94
L0000264,U0004,C010,2024-12-31,131
L0000265,U0004,C015,2024-11-10,81
L0000266,U0004,C015,2024-11-21,49
L0000267,U0004,C015,2024-11-23,101
L0000268,U0004,C015,2024-11-24,124
L0000269,U0004,C015,2024-11-27,128
L0000270,U0004,C015,2024-12-02,145
L0000271,U0004,C015,2024-12-03,31
L0000272,U0004,C015,2024-12-04,125
L0000273,U0004,C015,2024-12-04,110
L0000274,U0004,C015,2024-12-06,107
L0000275,U0004,C015,2024-12-10,64
L0000276,U0004,C015,2024-12-10,118
L0000277,U0004,C015,2024-12-12,63
L0000278,U0004,C015,2024-12-17,62
L0000279,U0004,C015,2024-12-23,61
L0000280,U0004,C015,2024-12-24,34
L0000281,U0004,C015,2024-12-24,68
L0000282,U0004,C015,2024-12-29,33
L0000283,U0004,C015,2024-12-30,56
L0000284,U0005,C008,2022-12-06,21
L0000285,U0005,C008,2023-01-22,23
L0000286,U0005,C008,2023-05-23,12
L0000287,U0005,C011,2023-05-30,22
L0000288,U0005,C011,2023-05-31,22
L0000289,U0005,C011,2023-06-12,20
L0000290,U0005,C006,2023-10-02,10
L0000291,U0005,C004,2024-07-15,15
L0000292,U0005,C004,2024-09-09,14
L0000293,U0005,C002,2024-09-16,30
L0000294,U0005,C002,2024-11-05,7
L0000295,U0005,C002,2024-12-15,12
L0000296,U0005,C014,2024-10-14,30
L0000297,U0005,C014,2024-10-28,14
L0000298,U0005,C014,2024-12-31,8
L0000299,U0005,C009,2024-08-29,19
L0000300,U0005,C009,2024-09-06,24
L0000301,U0005,C009,2024-10-18,8
L0000302,U0005,C009,2024-11-10,8
L0000303,U0006,C005,2023-03-28,39
L0000304,U0006,C005,2023-04-18,39
L0000305,U0006,C005,2023-05-01,39
L0000306,U0006,C005,2023-05-07,20
L0000307,U0006,C005,2023-05-24,25
L0000308,U0006,C005,2023-05-29,15
L0000309,U0006,C005,2023-07-14,27
L0000310,U0006,C005,2023-08-01,41
L0000311,U0006,C005,2023-08-17,18
L0000312,U0006,C005,2023-09-11,36
L0000313,U0006,C005,2023-09-20,25
L0000314,U0006,C005,2023-09-22,53
L0000315,U0006,C006,2023-06-10,26
L0000316,U0006,C006,2023-07-10,43
L0000317,U0006,C006,2023-07-14,21
L0000318,U0006,C006,2023-08-26,15
L0000319,U0006,C006,2023-09-27,16
L0000320,U0006,C006,2023-10-26,56
L0000321,U0006,C007,2023-12-07,53
L0000322,U0006,C007,2023-12-14,49
L0000323,U0006,C007,2024-01-23,34
L0000324,U0006,C007,2024-02-21,42
L0000325,U0006,C007,2024-02-29,28
L0000326,U0006,C007,2024-03-09,58
L0000327,U0006,C007,2024-05-05,41
L0000328,U0006,C007,2024-05-10,58
L0000329,U0006,C007,2024-05-21,28
L0000330,U0006,C007,2024-05-23,45
L0000331,U0006,C012,2024-05-06,27
L0000332,U0006,C012,2024-06-04,42
L0000333,U0006,C012,2024-06-06,16
L0000334,U0006,C012,2024-07-29,24
L0000335,U0006,C012,2024-08-26,28
L0000336,U0006,C012,2024-09-28,53
L0000337,U0006,C012,2024-09-29,38
L0000338,U0006,C012,2024-10-13,25
L0000339,U0006,C011,2024-10-21,29
L0000340,U0006,C011,2024-10-24,45
L0000341,U0006,C011,2024-10-25,51
L0000342,U0006,C011,2024-11-10,18
L0000343,U0006,C011,2024-11-26,59
L0000344,U0007,C004,2023-03-07,47
L0000345,U0007,C004,2023-04-19,38
L0000346,U0007,C004,2023-05-10,48
L0000347,U0007,C004,2023-05-12,36
L0000348,U0007,C004,2023-06-08,51
L0000349,U0007,C003,2024-01-20,31
L0000350,U0007,C003,2024-01-27,47
L0000351,U0007,C003,2024-02-08,27
L0000352,U0007,C003,2024-02-14,43
L0000353,U0007,C003,2024-04-18,49
L0000354,U0007,C003,2024-04-26,30
L0000355,U0007,C003,2024-05-09,18
L0000356,U0007,C003,2024-05-13,15
L0000357,U0007,C003,2024-06-01,25
L0000358,U0007,C005,2024-02-12,58
L0000359,U0007,C005,2024-03-05,43
L0000360,U0007,C005,2024-04-06,28
L0000361,U0007,C005,2024-05-04,35
L0000362,U0007,C005,2024-05-17,26
L0000363,U0007,C005,2024-07-11,28
L0000364,U0008,C010,2024-12-14,12
L0000365,U0008,C010,2024-12-17,43
L0000366,U0008,C010,2024-12-17,41
L0000367,U0008,C010,2024-12-18,40
L0000368,U0008,C010,2024-12-20,51
L0000369,U0008,C010,2024-12-24,57
L0000370,U0008,C010,2024-12-28,56
L0000371,U0008,C010,2024-12-30,52
L0000372,U0008,C010,2024-12-30,22
L0000373,U0008,C010,2024-12-30,27
L0000374,U0009,C015,2023-06-02,147
L0000375,U0009,C015,2023-06-28,126
L0000376,U0009,C015,2023-06-29,41
L0000377,U0009,C015,2023-07-03,56
L0000378,U0009,C015,2023-07-18,130
L0000379,U0009,C015,2023-07-25,100
L0000380,U0009,C015,2023-08-08,134
L0000381,U0009,C015,2023-08-16,122
L0000382,U0009,C015,2023-08-19,150
L0000383,U0009,C015,2023-08-30,73
L0000384,U0009,C015,2023-09-02,136
L0000385,U0009,C015,2023-09-04,118
L0000386,U0009,C015,2023-09-27,82
L0000387,U0009,C015,2023-10-05,38
L0000388,U0009,C015,2023-10-08,148
L0000389,U0009,C015,2023-10-17,123
L0000390,U0009,C015,2023-11-15,143
L0000391,U0009,C015,2023-11-20,56
L0000392,U0009,C005,2024-06-08,113
L0000393,U0009,C005,2024-06-13,93
L0000394,U0009,C005,2024-06-16,66
L0000395,U0009,C005,2024-06-19,144
L0000396,U0009,C005,2024-07-08,85
L0000397,U0009,C005,2024-07-28,91
L0000398,U0009,C005,2024-07-30,142
L0000399,U0009,C005,2024-08-06,50
L0000400,U0009,C005,2024-08-26,47
L0000401,U0009,C005,2024-08-27,141
L0000402,U0009,C005,2024-10-11,70
L0000403,U0009,C005,2024-11-08,116
L0000404,U0009,C005,2024-11-17,72
L0000405,U0009,C005,2024-11-24,71
L0000406,U0009,C002,2024-08-11,148
L0000407,U0009,C002,2024-08-17,64
L0000408,U0009,C002,2024-08-27,47
L0000409,U0009,C002,2024-09-02,67
L0000410,U0009,C002,2024-09-26,79
L0000411,U0009,C002,2024-09-27,80
L0000412,U0009,C002,2024-10-05,94
L0000413,U0009,C002,2024-10-12,119
L0000414,U0009,C002,2024-10-13,60
L0000415,U0009,C002,2024-11-22,91
L0000416,U0009,C002,2024-12-09,73
L0000417,U0009,C002,2024-12-12,127
L0000418,U0009,C011,2024-08-14,105
L0000419,U0009,C011,2024-08-31,141
L0000420,U0009,C011,2024-09-03,83
L0000421,U0009,C011,2024-10-07,69
L0000422,U0009,C011,2024-10-23,114
L0000423,U0009,C011,2024-10-30,36
L0000424,U0009,C011,2024-11-03,128
L0000425,U0009,C011,2024-11-22,89
L0000426,U0009,C011,2024-12-06,58
L0000427,U0009,C011,2024-12-08,120
L0000428,U0009,C011,2024-12-09,121
L0000429,U0009,C011,2024-12-10,82
L0000430,U0009,C011,2024-12-16,77
L0000431,U0009,C011,2024-12-20,49
L0000432,U0009,C011,2024-12-24,83
L0000433,U0009,C011,2024-12-31,117
L0000434,U0009,C012,2024-08-02,49
L0000435,U0009,C012,2024-08-06,71
L0000436,U0009,C012,2024-08-08,126
L0000437,U0009,C012,2024-08-08,86
L0000438,U0009,C012,2024-08-15,93
L0000439,U0009,C012,2024-08-26,53
L0000440,U0009,C012,2024-09-18,96
L0000441,U0009,C012,2024-09-19,40
L0000442,U0009,C012,2024-10-14,72
L0000443,U0009,C012,2024-10-20,57
L0000444,U0009,C012,2024-10-27,115
L0000445,U0009,C012,2024-11-01,131
L0000446,U0009,C012,2024-11-03,102
L0000447,U0009,C012,2024-11-26,66
L0000448,U0009,C012,2024-12-01,140
L0000449,U0009,C012,2024-12-02,99
L0000450,U0009,C012,2024-12-07,134
L0000451,U0009,C012,2024-12-24,140
L0000452,U0009,C012,2024-12-29,64
L0000453,U0009,C012,2024-12-29,78
L0000454,U0009,C010,2024-09-04,32
L0000455,U0009,C010,2024-09-22,33
L0000456,U0009,C010,2024-10-20,86
L0000457,U0009,C010,2024-10-22,124
L0000458,U0009,C010,2024-11-02,65
L0000459,U0009,C010,2024-11-05,54
L0000460,U0009,C010,2024-11-12,82
L0000461,U0009,C010,2024-11-15,123
L0000462,U0009,C010,2024-11-17,103
L0000463,U0009,C010,2024-11-23,35
L0000464,U0009,C009,2024-08-23,144
L0000465,U0009,C009,2024-09-03,105
L0000466,U0009,C009,2024-09-18,120
L0000467,U0009,C009,2024-09-18,96
L0000468,U0009,C009,2024-09-20,113
L0000469,U0009,C009,2024-09-20,70
L0000470,U0009,C009,2024-09-24,117
L0000471,U0009,C009,2024-10-02,93
L0000472,U0009,C009,2024-11-13,84
L0000473,U0009,C009,2024-11-14,119
L0000474,U0009,C009,2024-11-19,132
L0000475,U0009,C009,2024-12-08,68
L0000476,U0009,C009,2024-12-14,114
L0000477,U0009,C009,2024-12-26,48
L0000478,U0009,C013,2024-08-23,107
L0000479,U0009,C013,2024-08-28,117
L0000480,U0009,C013,2024-08-30,102
L0000481,U0009,C013,2024-09-02,90
L0000482,U0009,C013,2024-09-04,112
L0000483,U0009,C013,2024-09-10,138
L0000484,U0009,C013,2024-09-20,145
L0000485,U0009,C013,2024-10-06,128
L0000486,U0009,C013,2024-10-21,40
L0000487,U0009,C013,2024-10-27,57
L0000488,U0009,C013,2024-11-17,42
L0000489,U0009,C013,2024-11-17,38
L0000490,U0009,C013,2024-11-20,114
L0000491,U0009,C014,2024-11-09,75
L0000492,U0009,C014,2024-11-10,113
L0000493,U0009,C014,2024-11-12,34
L0000494,U0009,C014,2024-11-30,103
L0000495,U0009,C014,2024-12-02,146
L0000496,U0009,C014,2024-12-03,91
L0000497,U0009,C014,2024-12-04,136
L0000498,U0009,C014,2024-12-04,47
L0000499,U0009,C014,2024-12-05,41
L0000500,U0009,C014,2024-12-06,100
L0000501,U0009,C014,2024-12-07,148
L0000502,U0009,C014,2024-12-07,141
L0000503,U0009,C014,2024-12-09,115
L0000504,U0009,C014,2024-12-16,143
L0000505,U0009,C014,2024-12-24,89
L0000506,U0009,C014,2024-12-24,128
L0000507,U0009,C004,2024-11-06,42
L0000508,U0009,C004,2024-11-14,149
L0000509,U0009,C004,2024-11-18,68
L0000510,U0009,C004,2024-11-21,45
L0000511,U0009,C004,2024-11-23,57
L0000512,U0009,C004,2024-12-03,110
L0000513,U0009,C004,2024-12-11,64
L0000514,U0009,C004,2024-12-17,139
L0000515,U0009,C004,2024-12-23,61
L0000516,U0009,C004,2024-12-24,117
L0000517,U0009,C004,2024-12-27,138
L0000518,U0010,C012,2023-10-21,27
L0000519,U0010,C012,2023-10-21,33
L0000520,U0010,C012,2023-10-26,33
L0000521,U0010,C012,2023-11-09,75
L0000522,U0010,C012,2023-12-04,107
L0000523,U0010,C012,2024-01-19,74
L0000524,U0010,C012,2024-01-25,23
L0000525,U0010,C012,2024-02-12,43
L0000526,U0010,C012,2024-03-18,43
L0000527,U0010,C002,2023-10-29,30
L0000528,U0010,C002,2023-11-07,112
L0000529,U0010,C002,2023-11-08,118
L0000530,U0010,C002,2024-01-22,99
L0000531,U0010,C002,2024-02-23,81
L0000532,U0010,C002,2024-03-02,75
L0000533,U0010,C002,2024-03-06,67
L0000534,U0010,C002,2024-03-13,21
L0000535,U0010,C002,2024-03-15,110
L0000536,U0010,C002,2024-03-16,95
L0000537,U0010,C002,2024-03-20,26
L0000538,U0010,C002,2024-04-11,82
L0000539,U0010,C002,2024-04-14,76
L0000540,U0010,C010,2023-12-16,90
L0000541,U0010,C010,2023-12-28,86
L0000542,U0010,C010,2024-01-01,118
L0000543,U0010,C010,2024-01-14,24
L0000544,U0010,C010,2024-01-23,106
L0000545,U0010,C010,2024-01-23,90
L0000546,U0010,C010,2024-01-30,89
L0000547,U0010,C010,2024-02-17,117
L0000548,U0010,C010,2024-03-11,119
L0000549,U0010,C010,2024-04-22,42
L0000550,U0010,C010,2024-05-01,67
L0000551,U0010,C009,2024-02-05,60
L0000552,U0010,C009,2024-02-14,62
L0000553,U0010,C009,2024-02-19,120
L0000554,U0010,C009,2024-03-23,54
L0000555,U0010,C009,2024-04-27,28
L0000556,U0010,C009,2024-05-19,93
L0000557,U0010,C009,2024-05-22,96
L0000558,U0010,C009,2024-06-02,101
L0000559,U0010,C009,2024-06-04,64
L0000560,U0010,C009,2024-06-10,120
L0000561,U0010,C009,2024-06-18,20
L0000562,U0010,C009,2024-06-25,107
L0000563,U0010,C009,2024-06-28,89
L0000564,U0010,C009,2024-07-04,63
L0000565,U0010,C009,2024-07-04,72
L0000566,U0010,C003,2024-03-17,78
L0000567,U0010,C003,2024-03-20,88
L0000568,U0010,C003,2024-03-22,65
L0000569,U0010,C003,2024-03-28,63
L0000570,U0010,C003,2024-05-23,97
L0000571,U0010,C003,2024-06-14,26
L0000572,U0010,C003,2024-06-15,116
L0000573,U0010,C003,2024-07-13,28
L0000574,U0010,C003,2024-07-28,108
L0000575,U0010,C006,2024-08-30,89
L0000576,U0010,C006,2024-09-08,58
L0000577,U0010,C006,2024-09-19,114
L0000578,U0010,C006,2024-10-01,24
L0000579,U0010,C006,2024-10-09,22
L0000580,U0010,C006,2024-10-10,50
L0000581,U0010,C006,2024-10-10,34
L0000582,U0010,C006,2024-10-13,89
L0000583,U0010,C006,2024-10-26,60
L0000584,U0010,C006,2024-11-02,79
L0000585,U0010,C006,2024-12-15,41
L0000586,U0010,C008,2024-11-20,25
L0000587,U0010,C008,2024-11-24,113
L0000588,U0010,C008,2024-11-28,93
L0000589,U0010,C008,2024-11-29,35
L0000590,U0010,C008,2024-12-03,50
L0000591,U0010,C008,2024-12-06,40
L0000592,U0010,C008,2024-12-13,49
L0000593,U0010,C008,2024-12-15,76
L0000594,U0010,C008,2024-12-28,79
L0000595,U0010,C008,2024-12-29,88
L0000596,U0010,C008,2024-12-31,97
L0000597,U0010,C008,2024-12-31,112
L0000598,U0011,C001,2024-02-11,119
L0000599,U0011,C001,2024-02-27,81
L0000600,U0011,C001,2024-03-27,85
L0000601,U0011,C001,2024-04-02,52
L0000602,U0011,C001,2024-05-05,71
L0000603,U0011,C001,2024-05-15,80
L0000604,U0011,C001,2024-05-16,72
L0000605,U0011,C001,2024-06-29,115
L0000606,U0011,C001,2024-07-17,84
L0000607,U0011,C010,2024-04-02,118
L0000608,U0011,C010,2024-04-23,89
L0000609,U0011,C010,2024-05-17,101
L0000610,U0011,C010,2024-05-31,114
L0000611,U0011,C010,2024-06-24,62
L0000612,U0011,C010,2024-06-29,40
L0000613,U0011,C010,2024-07-01,30
L0000614,U0011,C010,2024-07-18,36
L0000615,U0011,C010,2024-07-24,99
L0000616,U0011,C012,2024-05-31,40
L0000617,U0011,C012,2024-06-11,84
L0000618,U0011,C012,2024-06-13,45
L0000619,U0011,C012,2024-06-14,76
L0000620,U0011,C012,2024-06-24,64
L0000621,U0011,C012,2024-07-03,71
L0000622,U0011,C012,2024-07-12,27
L0000623,U0011,C012,2024-07-16,95
L0000624,U0011,C012,2024-07-20,28
L0000625,U0011,C012,2024-08-24,119
L0000626,U0011,C012,2024-09-16,49
L0000627,U0011,C012,2024-10-13,80
L0000628,U0011,C012,2024-10-28,78
L0000629,U0011,C014,2024-09-19,49
L0000630,U0011,C014,2024-09-21,64
L0000631,U0011,C014,2024-10-18,101
L0000632,U0011,C014,2024-11-02,49
L0000633,U0011,C014,2024-11-21,57
L0000634,U0011,C014,2024-11-23,29
L0000635,U0011,C014,2024-12-10,103
L0000636,U0011,C014,2024-12-21,85
L0000637,U0011,C014,2024-12-28,97
L0000638,U0011,C014,2024-12-30,64
L0000639,U0011,C003,2024-09-21,49
L0000640,U0011,C003,2024-09-26,106
L0000641,U0011,C003,2024-10-03,29
L0000642,U0011,C003,2024-10-07,105
L0000643,U0011,C003,2024-10-12,35
L0000644,U0011,C003,2024-10-20,81
L0000645,U0011,C003,2024-11-15,41
L0000646,U0011,C003,2024-11-20,45
L0000647,U0011,C003,2024-12-11,22
L0000648,U0011,C003,2024-12-15,58
L0000649,U0011,C003,2024-12-17,30
L0000650,U0011,C003,2024-12-18,29
L0000651,U0011,C003,2024-12-21,69
L0000652,U0011,C003,2024-12-22,118
L0000653,U0011,C003,2024-12-27,65
L0000654,U0012,C008,2023-05-19,77
L0000655,U0012,C008,2023-06-17,106
L0000656,U0012,C008,2023-06-19,56
L0000657,U0012,C008,2023-06-30,58
L0000658,U0012,C008,2023-08-11,79
L0000659,U0012,C008,2023-09-03,29
L0000660,U0012,C008,2023-09-06,118
L0000661,U0012,C008,2023-09-19,39
L0000662,U0012,C008,2023-10-06,71
L0000663,U0012,C013,2024-08-24,110
L0000664,U0012,C013,2024-09-01,42
