customer_id,joining_date
U0101,2022-09-27
U0102,2023-06-27
U0103,2024-04-14
U0104,2024-01-23
U0105,2023-12-19
U0106,2022-08-09
U0107,2023-12-23
U0108,2023-10-30
U0109,2022-08-13
U0110,2023-08-28
U0111,2023-01-23
U0112,2022-11-28
U0113,2023-08-23
U0114,2023-08-28
U0115,2022-03-20
U0116,2024-07-03
U0117,2022-01-25
U0118,2023-12-09
U0119,2022-11-28
U0120,2022-07-20
U0121,2024-04-04
U0122,2024-08-11
U0123,2023-03-10
U0124,2024-02-07
U0125,2024-05-22
U0126,2022-07-10
U0127,2023-02-14
U0128,2023-12-19
U0129,2024-06-19
U0130,2024-08-06
U0131,2023-05-26
U0132,2023-02-02
U0133,2022-07-02
U0134,2022-10-13
U0135,2022-08-29
U0136,2023-09-05
U0137,2022-01-10
U0138,2022-08-02
U0139,2024-08-14
U0140,2022-03-28
U0141,2022-05-18
U0142,2022-12-28
U0143,2022-09-20
U0144,2022-11-09
U0145,2022-07-08
U0146,2023-02-02
U0147,2022-09-02
U0148,2022-02-18
U0149,2022-03-06
U0150,2023-11-28
U0151,2022-05-06
U0152,2023-03-01
U0153,2023-06-17
U0154,2023-04-15
U0155,2024-09-07
U0156,2022-08-01
U0157,2023-02-04
U0158,2023-03-17
U0159,2023-05-19
U0160,2022-01-18
U0161,2022-01-02
U0162,2023-08-25
U0163,2022-11-01
U0164,2022-06-27
U0165,2024-04-08
U0166,2024-01-09
U0167,2024-05-07
U0168,2022-06-01
U0169,2022-10-06
U0170,2023-07-13
U0171,2023-06-18
U0172,2022-04-19
U0173,2022-04-30
U0174,2024-06-29
U0175,2022-02-22
U0176,2023-07-27
U0177,2023-01-24
U0178,2022-01-19
U0179,2023-11-19
U0180,2023-11-16
U0181,2023-05-12
U0182,2024-11-02
U0183,2023-12-18
U0184,2022-05-11
U0185,2023-03-04
U0186,2023-01-23
U0187,2022-06-24
U0188,2023-08-14
U0189,2023-06-15
U0190,2022-08-17
U0191,2024-06-20
U0192,2024-02-29
U0193,2023-05-07
U0194,2023-12-04
U0195,2022-04-20
U0196,2024-02-26
U0197,2023-11-15
U0198,2023-05-21
U0199,2024-07-18
U0200,2024-10-20
U0201,2023-07-12
U0202,2023-02-18
U0203,2022-09-15
U0204,2022-03-27
U0205,2022-06-24
U0206,2022-01-18
U0207,2022-05-22
U0208,2024-09-10
U0209,2022-08-23
U0210,2023-02-18
U0211,2023-08-23
U0212,2024-08-07
U0213,2023-07-30
U0214,2024-07-26
U0215,2022-01-15
U0216,2024-07-15
U0217,2022-12-22
U0218,2022-06-04
U0219,2023-11-24
U0220,2024-05-16
U0221,2022-10-01
U0222,2024-01-07
U0223,2022-02-02
U0224,2023-08-08
U0225,2024-06-09
U0226,2023-05-22
U0227,2022-11-11
U0228,2024-09-05
U0229,2022-06-08
U0230,2022-07-19
U0231,2022-03-07
U0232,2022-03-06
U0233,2023-09-28
U0234,2024-08-25
U0235,2022-06-27
U0236,2022-02-18
U0237,2024-03-14
U0238,2022-02-19
U0239,2024-08-17
U0240,2024-01-25
U0241,2023-01-26
U0242,2022-09-30
U0243,2024-03-23
U0244,2024-03-20
U0245,2024-01-06
U0246,2022-06-25
U0247,2023-09-01
U0248,2024-01-17
U0249,2023-07-31
U0250,2023-07-08
U0251,2023-05-26
U0252,2023-09-19
U0253,2023-12-31
U0254,2023-02-11
U0255,2022-11-11
U0256,2024-02-10
U0257,2024-03-13
U0258,2022-06-05
U0259,2022-10-29
U0260,2022-09-22
U0261,2022-08-18
U0262,2022-06-10
U0263,2023-04-01
U0264,2022-06-07
U0265,2023-06-11
U0266,2023-03-09
U0267,2022-07-16
U0268,2022-04-11
U0269,2022-03-20
U0270,2023-11-25
U0271,2023-12-24
U0272,2023-11-25
U0273,2022-04-19
U0274,2024-06-29
U0275,2024-12-12
U0276,2023-11-09
U0277,2024-08-29
U0278,2022-03-08
U0279,2024-06-03
U0280,2024-05-15
U0281,2024-01-10
U0282,2023-05-14
U0283,2024-09-25
U0284,2023-03-30
U0285,2022-07-25
U0286,2022-09-05
U0287,2023-08-05
U0288,2022-05-02
U0289,2022-09-16
U0290,2022-07-14
U0291,2024-08-21
U0292,2024-07-01
U0293,2023-02-07
U0294,2024-05-21
U0295,2022-10-13
U0296,2024-03-26
U0297,2022-07-15
U0298,2023-09-03
U0299,2024-03-21
U0300,2023-08-26
U0301,2023-05-06
U0302,2023-09-11
U0303,2023-01-18
U0304,2024-10-12
U0305,2023-04-18
U0306,2022-09-26
U0307,2023-04-16
U0308,2022-06-22
U0309,2024-08-25
U0310,2023-07-14
U0311,2023-09-24
U0312,2024-08-31
U0313,2024-09-16
U0314,2023-10-24
U0315,2022-08-26
U0316,2022-01-04
U0317,2023-09-10
U0318,2022-09-18
U0319,2022-01-31
U0320,2022-01-04
U0321,2023-01-28
U0322,2023-05-03
U0323,2022-07-23
U0324,2022-05-24
U0325,2022-04-01
U0326,2022-11-05
U0327,2022-12-25
U0328,2022-06-29
U0329,2022-06-29
U0330,2023-03-30
U0331,2023-07-10
U0332,2022-01-12
U0333,2022-07-04
U0334,2022-02-22
U0335,2022-10-31
U0336,2023-08-08
U0337,2023-06-22
U0338,2024-06-17
U0339,2023-06-30
U0340,2022-10-18
U0341,2022-04-29
U0342,2022-11-16
U0343,2022-03-09
U0344,2022-10-01
U0345,2024-06-18
U0346,2024-11-17
U0347,2023-11-11
U0348,2023-10-23
U0349,2023-04-03
U0350,2022-10-12
U0351,2023-07-30
U0352,2022-12-14
U0353,2023-10-19
U0354,2022-04-09
U0355,2024-01-15
U0356,2022-06-01
U0357,2022-02-20
U0358,2024-05-12
U0359,2024-05-03
U0360,2022-06-08
U0361,2023-01-08
U0362,2023-07-30
U0363,2022-06-30
U0364,2023-04-08
U0365,2022-01-14
U0366,2023-01-07
U0367,2022-11-28
U0368,2023-02-22
U0369,2024-05-19
U0370,2022-06-16
U0371,2022-10-01
U0372,2023-02-02
U0373,2023-06-02
U0374,2022-10-13
U0375,2022-10-05
U0376,2023-12-15
U0377,2023-04-10
U0378,2022-04-07
U0379,2022-11-04
U0380,2024-05-27
U0381,2023-08-27
U0382,2022-11-29
U0383,2023-04-30
U0384,2024-06-27
U0385,2023-12-28
U0386,2022-11-12
U0387,2023-09-29
U0388,2023-07-07
U0389,2022-10-25
U0390,2022-09-13
U0391,2022-01-19
U0392,2023-01-05
U0393,2023-05-07
U0394,2022-04-25
U0395,2023-10-21
U0396,2023-05-28
U0397,2022-05-17
U0398,2023-02-15
U0399,2024-05-22
U0400,2022-08-27
U0401,2024-06-10
U0402,2024-06-05
U0403,2022-03-18
U0404,2022-03-24
U0405,2024-05-21
U0406,2024-04-09
U0407,2022-11-16
U0408,2023-01-01
U0409,2022-12-27
U0410,2022-10-10
U0411,2022-08-07
U0412,2023-07-16
U0413,2022-01-29
U0414,2024-04-04
U0415,2023-05-10
U0416,2023-03-18
U0417,2022-08-08
U0418,2024-07-12
U0419,2022-07-28
U0420,2022-05-13
U0421,2024-03-07
U0422,2022-04-24
U0423,2024-02-23
U0424,2022-05-30
U0425,2023-05-24
U0426,2023-04-21
U0427,2024-08-31
U0428,2022-09-17
U0429,2023-12-17
U0430,2022-10-06
U0431,2022-01-11
U0432,2024-04-30
U0433,2022-06-10
U0434,2022-11-03
U0435,2024-07-14
U0436,2022-12-01
U0437,2022-11-07
U0438,2022-08-02
U0439,2023-03-14
U0440,2024-03-12
U0441,2022-08-26
U0442,2022-03-27
U0443,2024-03-17
U0444,2024-03-01
U0445,2023-03-28
U0446,2023-07-31
U0447,2024-02-24
U0448,2024-06-05
U0449,2022-04-24
U0450,2022-03-28
U0451,2024-02-29
U0452,2022-08-25
U0453,2022-09-16
U0454,2023-10-21
U0455,2024-12-11
U0456,2024-03-20
U0457,2022-09-10
U0458,2022-04-12
U0459,2023-02-28
U0460,2024-03-09
U0461,2024-09-09
U0462,2023-12-14
U0463,2022-12-15
U0464,2022-01-29
U0465,2023-08-11
U0466,2023-01-30
U0467,2022-03-30
U0468,2022-01-09
U0469,2022-09-12
U0470,2023-02-12
U0471,2022-09-05
U0472,2023-03-16
U0473,2022-12-15
U0474,2023-04-24
U0475,2024-08-28
U0476,2023-07-18
U0477,2024-07-07
U0478,2024-08-31
U0479,2023-04-16
U0480,2024-03-25
U0481,2023-08-24
U0482,2024-06-09
U0483,2023-02-07
U0484,2024-03-23
U0485,2024-05-06
U0486,2022-06-01
U0487,2023-02-08
U0488,2023-10-21
U0489,2024-01-14
U0490,2023-10-19
U0491,2022-12-14
U0492,2023-06-03
U0493,2023-01-02
U0494,2022-07-28
U0495,2022-06-16
U0496,2022-09-25
U0497,2023-12-04
U0498,2022-07-04
U0499,2022-03-16
U0500,2022-09-01
U0501,2022-07-07
U0502,2024-08-11
U0503,2022-02-16
U0504,2024-06-10
U0505,2023-10-19
U0506,2024-07-22
U0507,2022-09-22
U0508,2022-07-31
U0509,2022-03-22
U0510,2023-09-07
U0511,2024-08-25
U0512,2024-05-09
U0513,2024-10-27
U0514,2024-09-06
U0515,2023-06-01
U0516,2022-03-15
U0517,2023-03-07
U0518,2022-05-02
U0519,2022-07-15
U0520,2023-05-09
U0521,2023-09-19
U0522,2022-11-01
U0523,2023-03-20
U0524,2022-09-11
U0525,2023-08-13
U0526,2023-08-24
U0527,2023-07-16
U0528,2024-07-31
U0529,2024-07-15
U0530,2024-05-29
U0531,2024-06-04
U0532,2023-07-19
U0533,2024-07-25
U0534,2022-04-18
U0535,2024-01-27
U0536,2022-08-29
U0537,2024-07-02
U0538,2023-03-24
U0539,2024-04-24
U0540,2024-07-22
U0541,2022-07-10
U0542,2024-04-28
U0543,2023-06-17
U0544,2023-11-30
U0545,2023-02-09
U0546,2022-06-27
U0547,2023-01-15
U0548,2023-02-24
U0549,2023-12-27
U0550,2022-03-04
U0551,2023-10-27
U0552,2022-05-10
U0553,2024-04-06
U0554,2022-09-23
U0555,2022-06-27
U0556,2024-03-15
U0557,2023-05-09
U0558,2023-05-22
U0559,2022-11-13
U0560,2023-09-07
U0561,2022-07-30
U0562,2022-08-08
U0563,2024-09-20
U0564,2022-02-08
U0565,2024-01-31
U0566,2022-06-15
U0567,2024-06-19
U0568,2023-09-04
U0569,2022-05-13
U0570,2024-07-13
U0571,2024-06-21
U0572,2022-09-16
U0573,2022-08-22
U0574,2024-10-23
U0575,2023-03-22
U0576,2024-04-09
U0577,2022-03-24
U0578,2024-04-01
U0579,2022-08-24
U0580,2022-12-06
U0581,2023-10-23
U0582,2024-04-23
U0583,2024-11-01
U0584,2024-05-26
U0585,2023-01-11
U0586,2023-09-16
U0587,2023-06-07
U0588,2022-03-03
U0589,2024-01-07
U0590,2022-11-30
U0591,2023-04-07
U0592,2023-11-29
U0593,2024-01-10
U0594,2024-10-11
U0595,2022-10-22
U0596,2022-12-30
U0597,2023-01-13
U0598,2023-02-28
U0599,2023-05-22
U0600,2023-03-15
U0601,2024-10-30
U0602,2022-12-30
U0603,2023-06-18
U0604,2022-06-17
U0605,2022-05-22
U0606,2022-03-14
U0607,2023-11-26
U0608,2024-11-27
U0609,2022-11-02
U0610,2023-01-03
U0611,2024-02-23
U0612,2023-11-30
U0613,2024-08-07
U0614,2023-12-25
U0615,2022-03-23
U0616,2022-03-18
U0617,2022-08-05
U0618,2022-03-07
U0619,2023-12-02
U0620,2023-07-27
U0621,2023-06-06
U0622,2023-04-28
U0623,2022-02-15
U0624,2023-07-14
U0625,2023-02-15
U0626,2023-11-07
U0627,2024-04-17
U0628,2024-04-24
U0629,2024-06-28
U0630,2023-03-29
U0631,2024-07-07
U0632,2023-07-03
U0633,2024-02-23
U0634,2022-02-02
U0635,2022-11-08
U0636,2023-02-08
U0637,2024-06-20
U0638,2023-11-03
U0639,2022-09-25
U0640,2024-05-21
U0641,2024-05-19
U0642,2024-01-12
U0643,2023-04-01
U0644,2022-05-24
U0645,2022-05-22
U0646,2023-08-13
U0647,2022-07-03
U0648,2022-06-09
U0649,2022-01-29
U0650,2023-09-11
U0651,2022-10-13
U0652,2023-06-19
U0653,2023-05-06
U0654,2022-07-26
U0655,2023-02-26
U0656,2022-05-30
U0657,2022-03-24
U0658,2023-08-31
U0659,2024-02-13
U0660,2022-11-05
U0661,2024-04-27
U0662,2022-11-13
U0663,2024-03-18
U0664,2024-05-18
U0665,2023-01-23
U0666,2022-11-19
U0667,2024-09-30
U0668,2023-04-03
U0669,2023-09-30
U0670,2023-08-10
U0671,2022-08-18
U0672,2022-10-18
U0673,2023-06-14
U0674,2023-10-05
U0675,2022-07-17
U0676,2022-05-31
U0677,2023-04-14
U0678,2022-05-12
U0679,2023-07-20
U0680,2022-10-29
U0681,2023-06-29
U0682,2022-10-28
U0683,2022-12-25
U0684,2024-07-12
U0685,2024-01-10
U0686,2022-06-12
U0687,2023-04-30
U0688,2022-03-03
U0689,2022-04-28
U0690,2024-02-11
U0691,2024-05-26
U0692,2022-09-23
U0693,2022-10-23
U0694,2023-07-16
U0695,2022-09-02
U0696,2023-12-27
U0697,2022-09-01
U0698,2023-07-09
U0699,2024-06-11
U0700,2024-09-06
U0701,2023-12-18
U0702,2022-06-21
U0703,2023-08-17
U0704,2022-07-31
U0705,2022-11-04
U0706,2024-05-04
U0707,2022-07-21
U0708,2024-11-06
U0709,2023-08-28
U0710,2022-09-12
U0711,2023-09-25
U0712,2022-12-07
U0713,2024-10-09
U0714,2022-08-22
U0715,2023-05-14
U0716,2022-03-23
U0717,2022-12-28
U0718,2023-04-02
U0719,2024-06-12
U0720,2023-01-17
U0721,2024-08-05
U0722,2024-06-24
U0723,2022-09-28
U0724,2023-09-22
U0725,2022-12-08
U0726,2024-02-03
U0727,2022-05-15
U0728,2022-09-11
U0729,2023-01-20
U0730,2022-02-02
U0731,2023-03-11
U0732,2023-10-08
U0733,2022-06-22
U0734,2024-05-14
U0735,2024-08-25
U0736,2023-11-06
U0737,2022-09-29
U0738,2023-07-20
U0739,2023-08-27
U0740,2024-04-19
U0741,2023-01-27
U0742,2023-02-11
U0743,2023-02-20
U0744,2023-12-08
U0745,2023-01-11
U0746,2024-03-30
U0747,2023-08-14
U0748,2024-02-03
U0749,2024-04-15
U0750,2022-09-11
U0751,2023-08-05
U0752,2022-05-10
U0753,2022-04-25
U0754,2022-01-01
U0755,2022-04-08
U0756,2023-11-10
U0757,2024-01-23
U0758,2022-11-19
U0759,2023-10-12
U0760,2022-06-17
U0761,2022-03-14
U0762,2023-08-31
U0763,2023-02-02
U0764,2023-12-29
U0765,2022-06-09
U0766,2022-02-12
U0767,2024-03-14
U0768,2023-09-28
U0769,2024-07-26
U0770,2023-06-22
U0771,2023-06-21
U0772,2024-05-26
U0773,2023-08-07
U0774,2023-10-20
U0775,2023-10-20
U0776,2022-11-28
U0777,2024-04-01
U0778,2022-09-22
U0779,2024-02-04
U0780,2022-04-06
U0781,2022-03-23
U0782,2022-02-21
U0783,2024-04-16
U0784,2022-08-04
U0785,2022-02-19
U0786,2022-09-24
U0787,2024-08-03
U0788,2024-07-07
U0789,2022-08-29
U0790,2023-09-10
U0791,2022-07-25
U0792,2022-06-15
U0793,2022-02-14
U0794,2022-04-10
U0795,2024-11-13
U0796,2022-12-03
U0797,2023-07-31
U0798,2022-06-17
U0799,2022-09-18
U0800,2023-11-07
U0801,2022-01-16
U0802,2023-05-19
U0803,2022-08-31
U0804,2023-08-04
U0805,2022-09-19
U0806,2023-12-03
U0807,2024-06-22
U0808,2023-09-12
U0809,2023-02-27
U0810,2022-06-22
U0811,2023-05-13
U0812,2023-11-13
U0813,2023-10-02
U0814,2022-12-06
U0815,2022-02-12
U0816,2023-08-23
U0817,2023-05-04
U0818,2023-12-31
U0819,2022-12-13
U0820,2022-05-31
U0821,2024-04-23
U0822,2023-01-20
U0823,2022-03-12
U0824,2022-12-05
U0825,2022-12-16
U0826,2022-01-09
U0827,2022-05-27
U0828,2022-01-30
U0829,2022-04-29
U0830,2023-04-28
U0831,2023-08-13
U0832,2022-04-06
U0833,2022-06-27
U0834,2023-08-13
U0835,2023-04-28
U0836,2024-07-31
U0837,2022-06-18
U0838,2023-10-03
U0839,2023-03-06
U0840,2022-08-12
U0841,2023-10-05
U0842,2024-02-27
U0843,2022-12-24
U0844,2022-01-30
U0845,2023-08-30
U0846,2023-10-08
U0847,2022-12-06
U0848,2022-07-14
U0849,2022-08-29
U0850,2023-01-06
U0851,2022-04-02
U0852,2023-07-12
U0853,2022-05-25
U0854,2023-05-25
U0855,2023-10-02
U0856,2023-07-16
U0857,2022-06-05
U0858,2023-07-05
U0859,2023-04-04
U0860,2023-07-07
U0861,2022-06-24
U0862,2023-10-08
U0863,2022-10-27
U0864,2024-01-11
U0865,2024-07-30
U0866,2023-07-31
U0867,2023-11-23
U0868,2024-08-21
U0869,2022-01-26
U0870,2023-08-09
U0871,2022-11-13
U0872,2024-04-27
U0873,2023-01-31
U0874,2023-12-15
U0875,2023-05-11
U0876,2022-03-21
U0877,2023-06-01
U0878,2024-02-09
U0879,2022-01-17
U0880,2023-05-05
U0881,2024-02-09
U0882,2022-03-05
U0883,2022-06-18
U0884,2023-05-03
U0885,2022-09-04
U0886,2023-01-15
U0887,2023-07-07
U0888,2023-03-19
U0889,2024-09-28
U0890,2024-01-04
U0891,2023-06-29
U0892,2023-03-15
U0893,2023-08-19
U0894,2022-09-04
U0895,2024-08-27
U0896,2023-08-14
U0897,2023-09-25
U0898,2023-05-31
U0899,2023-04-25
U0900,2023-07-10
U0901,2024-01-29
U0902,2023-08-01
U0903,2022-02-09
U0904,2023-12-04
U0905,2022-03-30
U0906,2024-01-21
U0907,2024-08-23
U0908,2022-07-29
U0909,2024-06-06
U0910,2023-01-27
U0911,2022-12-16
U0912,2022-02-01
U0913,2023-07-15
U0914,2023-08-09
U0915,2022-04-02
U0916,2024-08-05
U0917,2024-04-10
U0918,2024-07-28
U0919,2023-05-08
U0920,2022-09-29
U0921,2022-06-07
U0922,2023-04-24
U0923,2022-02-10
U0924,2022-07-26
U0925,2023-09-22
U0926,2022-10-10
U0927,2022-11-06
U0928,2023-06-29
U0929,2024-08-29
U0930,2022-12-10
U0931,2023-01-04
U0932,2023-07-18
U0933,2024-05-02
U0934,2023-08-29
U0935,2024-03-06
U0936,2023-02-22
U0937,2024-05-13
U0938,2023-10-13
U0939,2022-05-02
U0940,2024-09-18
U0941,2023-12-20
U0942,2022-05-25
U0943,2024-06-02
U0944,2024-01-24
U0945,2024-05-18
U0946,2024-05-04
U0947,2022-08-03
U0948,2022-09-06
U0949,2024-08-14
U0950,2022-11-11
U0951,2023-03-13
U0952,2024-08-19
U0953,2024-06-13
U0954,2023-01-01
U0955,2024-04-23
U0956,2024-01-23
U0957,2022-03-23
U0958,2022-04-27
U0959,2022-04-23
U0960,2023-01-22
U0961,2023-07-30
U0962,2022-05-03
U0963,2022-09-05
U0964,2023-01-01
U0965,2023-06-29
U0966,2023-10-29
U0967,2022-03-24
U0968,2022-04-24
U0969,2023-11-04
U0970,2022-10-08
U0971,2022-09-07
U0972,2023-01-30
U0973,2022-11-08
U0974,2022-12-17
U0975,2022-04-21
U0976,2023-01-21
U0977,2022-11-24
U0978,2024-10-19
U0979,2023-09-22
U0980,2023-12-13
U0981,2022-11-12
U0982,2023-08-12
U0983,2024-08-27
U0984,2022-09-27
U0985,2023-02-02
U0986,2022-05-02
U0987,2024-04-24
U0988,2023-06-10
U0989,2022-06-03
U0990,2024-02-14
U0991,2023-05-16
U0992,2022-06-27
U0993,2023-03-18
U0994,2022-07-26
U0995,2022-11-10
U0996,2022-01-27
U0997,2023-04-18
U0998,2023-10-25
U0999,2022-10-27
U1000,2023-09-02
