purchase_id,customer_id,course_id,purchase_date,amount_paid
P000299,U0053,C001,2024-01-01,99
P000300,U0053,C014,2024-01-10,79
P000301,U0053,C015,2024-02-15,89
P000302,U0053,C002,2024-03-12,89
P000303,U0053,C013,2024-09-03,69
P000304,U0054,C014,2024-01-09,79
P000305,U0054,C008,2024-01-21,29
P000306,U0054,C009,2024-02-04,39
P000307,U0054,C013,2024-04-02,69
P000308,U0054,C011,2024-05-19,79
P000309,U0054,C003,2024-10-04,79
P000310,U0055,C012,2024-11-25,49
P000311,U0055,C013,2024-11-25,69
P000312,U0055,C006,2024-11-26,49
P000313,U0055,C015,2024-11-28,89
P000314,U0055,C007,2024-11-28,19
P000315,U0055,C009,2024-11-28,39
P000316,U0056,C008,2022-07-06,29
P000317,U0056,C015,2023-02-08,89
P000318,U0056,C007,2023-03-24,19
P000319,U0056,C014,2024-02-19,79
P000320,U0057,C011,2023-05-31,79
P000321,U0057,C014,2023-06-09,79
P000322,U0058,C009,2022-12-28,39
P000323,U0058,C004,2024-04-19,99
P000324,U0058,C007,2024-07-23,19
P000325,U0058,C001,2024-11-07,99
P000326,U0059,C005,2022-05-18,49
P000327,U0059,C011,2022-07-05,79
P000328,U0059,C009,2023-03-26,39
P000329,U0059,C014,2023-05-16,79
P000330,U0059,C003,2023-12-31,79
P000331,U0059,C004,2024-08-21,99
P000332,U0059,C015,2024-11-25,89
P000333,U0060,C011,2023-03-19,79
P000334,U0060,C009,2023-03-24,39
P000335,U0060,C006,2023-07-21,49
P000336,U0060,C008,2024-01-16,29
P000337,U0060,C012,2024-02-13,49
P000338,U0060,C002,2024-03-11,89
P000339,U0060,C010,2024-08-13,49
P000340,U0060,C015,2024-08-17,89
P000341,U0060,C005,2024-11-20,49
P000342,U0061,C001,2022-03-26,99
P000343,U0061,C004,2022-09-19,99
P000344,U0061,C007,2024-06-12,19
P000345,U0062,C005,2023-02-07,49
P000346,U0062,C004,2023-07-02,99
P000347,U0062,C008,2023-08-22,29
P000348,U0062,C003,2023-09-22,79
P000349,U0062,C007,2023-10-04,19
P000350,U0062,C010,2023-10-31,49
P000351,U0062,C009,2023-12-25,39
P000352,U0062,C015,2024-05-09,89
P000353,U0062,C011,2024-05-23,79
P000354,U0062,C013,2024-06-24,69
P000355,U0062,C006,2024-11-21,49
P000356,U0063,C011,2022-06-16,79
P000357,U0063,C015,2023-12-12,89
P000358,U0063,C009,2024-07-04,39
P000359,U0064,C004,2024-07-01,99
P000360,U0064,C006,2024-08-21,49
P000361,U0064,C002,2024-09-16,89
P000362,U0064,C013,2024-11-12,69
P000363,U0065,C007,2022-06-19,19
P000364,U0065,C009,2022-10-26,39
P000365,U0065,C014,2023-01-19,79
P000366,U0065,C004,2023-02-20,99
P000367,U0065,C003,2024-02-09,79
P000368,U0065,C005,2024-07-12,49
P000369,U0065,C012,2024-08-06,49
P000370,U0065,C013,2024-08-09,69
P000371,U0065,C010,2024-10-01,49
P000372,U0066,C009,2022-11-22,39
P000373,U0066,C006,2023-03-17,49
P000374,U0066,C007,2023-07-14,19
P000375,U0066,C014,2023-09-01,79
P000376,U0066,C004,2024-04-07,99
P000377,U0066,C005,2024-05-12,49
P000378,U0066,C013,2024-09-25,69
P000379,U0066,C010,2024-10-11,49
P000380,U0067,C005,2023-01-17,49
P000381,U0067,C001,2023-07-09,99
P000382,U0068,C005,2023-11-07,49
P000383,U0068,C004,2024-02-24,99
P000384,U0069,C005,2022-11-28,49
P000385,U0069,C002,2023-02-22,89
P000386,U0069,C013,2023-03-16,69
P000387,U0069,C001,2023-06-30,99
P000388,U0069,C003,2023-09-24,79
P000389,U0069,C012,2024-08-17,49
P000390,U0070,C013,2023-12-25,69
P000391,U0070,C007,2024-02-01,19
P000392,U0070,C010,2024-03-04,49
P000393,U0070,C005,2024-04-06,49
P000394,U0070,C008,2024-05-27,29
P000395,U0070,C009,2024-09-10,39
P000396,U0070,C002,2024-10-06,89
P000397,U0071,C005,2023-07-07,49
P000398,U0071,C004,2023-10-27,99
P000399,U0071,C015,2023-12-15,89
P000400,U0071,C010,2024-03-26,49
P000401,U0071,C009,2024-04-29,39
P000402,U0071,C013,2024-12-05,69
P000403,U0072,C006,2023-02-26,49
P000404,U0072,C003,2024-03-12,79
P000405,U0072,C012,2024-04-10,49
P000406,U0072,C008,2024-05-30,29
P000407,U0072,C004,2024-07-12,99
P000408,U0072,C015,2024-08-11,89
P000409,U0072,C014,2024-10-05,79
P000410,U0073,C001,2024-07-12,99
P000411,U0073,C009,2024-07-14,39
P000412,U0073,C003,2024-09-16,79
P000413,U0073,C010,2024-09-21,49
P000414,U0073,C012,2024-10-08,49
P000415,U0073,C015,2024-10-17,89
P000416,U0073,C007,2024-11-17,19
P000417,U0074,C010,2024-12-23,49
P000418,U0075,C003,2023-06-01,79
P000419,U0075,C007,2023-08-09,19
P000420,U0075,C014,2023-12-07,79
P000421,U0075,C008,2023-12-16,29
P000422,U0075,C015,2024-02-14,89
P000423,U0075,C012,2024-02-27,49
P000424,U0075,C009,2024-09-20,39
P000425,U0075,C010,2024-10-23,49
P000426,U0076,C014,2023-12-14,79
P000427,U0076,C007,2024-12-13,19
P000428,U0077,C014,2024-12-28,79
P000429,U0078,C010,2024-02-19,49
P000430,U0078,C006,2024-06-12,49
P000431,U0078,C013,2024-08-09,69
P000432,U0078,C004,2024-09-07,99
P000433,U0078,C007,2024-11-09,19
P000434,U0078,C014,2024-11-22,79
P000435,U0079,C013,2022-09-05,69
P000436,U0079,C002,2022-09-28,89
P000437,U0079,C006,2023-07-05,49
P000438,U0079,C001,2023-07-14,99
P000439,U0079,C012,2024-09-23,49
P000440,U0079,C008,2024-11-04,29
P000441,U0080,C004,2022-03-25,99
P000442,U0080,C010,2023-06-05,49
P000443,U0080,C009,2024-06-24,39
P000444,U0081,C011,2024-07-30,79
P000445,U0081,C007,2024-08-09,19
P000446,U0081,C014,2024-08-20,79
P000447,U0081,C004,2024-08-24,99
P000448,U0081,C015,2024-10-01,89
P000449,U0081,C002,2024-10-25,89
P000450,U0081,C009,2024-11-10,39
P000451,U0081,C003,2024-11-15,79
P000452,U0081,C013,2024-11-15,69
P000453,U0081,C010,2024-12-09,49
P000454,U0081,C006,2024-12-10,49
P000455,U0081,C012,2024-12-28,49
P000456,U0082,C015,2024-12-13,89
P000457,U0083,C011,2023-03-02,79
P000458,U0083,C002,2024-03-17,89
P000459,U0083,C012,2024-06-02,49
P000460,U0083,C003,2024-08-29,79
P000461,U0084,C013,2024-10-10,69
P000462,U0084,C015,2024-12-07,89
P000463,U0085,C012,2023-02-25,49
P000464,U0085,C005,2023-10-19,49
P000465,U0085,C014,2024-01-11,79
P000466,U0085,C010,2024-01-16,49
P000467,U0085,C011,2024-02-01,79
P000468,U0085,C009,2024-02-19,39
P000469,U0085,C002,2024-09-16,89
P000470,U0085,C003,2024-12-23,79
P000471,U0086,C008,2023-07-20,29
P000472,U0086,C011,2023-12-09,79
P000473,U0086,C006,2024-02-01,49
P000474,U0086,C009,2024-07-14,39
P000475,U0086,C010,2024-10-20,49
P000476,U0086,C012,2024-11-03,49
P000477,U0087,C007,2024-11-12,19
P000478,U0087,C003,2024-12-19,79
P000479,U0088,C005,2024-11-16,49
P000480,U0088,C013,2024-11-24,69
P000481,U0088,C001,2024-11-26,99
P000482,U0088,C004,2024-11-29,99
P000483,U0088,C009,2024-12-04,39
P000484,U0089,C002,2024-12-06,89
P000485,U0090,C003,2023-02-22,79
P000486,U0090,C012,2023-07-30,49
P000487,U0091,C006,2024-11-07,49
P000488,U0091,C003,2024-12-04,79
P000489,U0091,C013,2024-12-11,69
P000490,U0092,C006,2023-06-10,49
P000491,U0092,C009,2023-12-06,39
P000492,U0092,C011,2024-03-04,79
P000493,U0092,C003,2024-08-16,79
P000494,U0093,C011,2022-07-25,79
P000495,U0093,C004,2022-09-13,99
P000496,U0093,C013,2022-12-10,69
P000497,U0093,C009,2023-11-09,39
P000498,U0093,C005,2023-11-26,49
P000499,U0093,C014,2024-03-29,79
P000500,U0093,C002,2024-04-13,89
P000501,U0093,C003,2024-04-14,79
P000502,U0093,C010,2024-06-05,49
P000503,U0093,C001,2024-07-03,99
P000504,U0093,C012,2024-11-15,49
P000505,U0094,C012,2022-10-08,49
P000506,U0094,C001,2023-06-26,99
P000507,U0094,C015,2023-10-21,89
P000508,U0094,C008,2024-01-19,29
P000509,U0094,C014,2024-08-17,79
P000510,U0095,C006,2023-03-17,49
P000511,U0095,C008,2024-01-26,29
P000512,U0095,C013,2024-10-14,69
P000513,U0096,C013,2024-07-31,69
P000514,U0096,C014,2024-08-11,79
P000515,U0096,C012,2024-12-19,49
P000516,U0097,C014,2024-06-07,79
P000517,U0097,C003,2024-06-18,79
P000518,U0097,C007,2024-07-11,19
P000519,U0097,C001,2024-08-15,99
P000520,U0097,C015,2024-08-17,89
P000521,U0097,C011,2024-09-02,79
P000522,U0097,C013,2024-09-12,69
P000523,U0097,C006,2024-10-03,49
P000524,U0097,C002,2024-11-06,89
P000525,U0097,C010,2024-11-22,49
P000526,U0097,C009,2024-12-03,39
P000527,U0098,C012,2023-03-12,49
P000528,U0098,C005,2023-03-16,49
P000529,U0098,C014,2023-06-29,79
P000530,U0098,C013,2023-08-01,69
P000531,U0098,C008,2023-10-24,29
P000532,U0098,C010,2024-02-26,49
P000533,U0098,C006,2024-03-07,49
P000534,U0098,C015,2024-04-01,89
P000535,U0098,C011,2024-05-01,79
P000536,U0098,C009,2024-08-02,39
P000537,U0098,C003,2024-11-16,79
P000538,U0099,C004,2022-11-17,99
P000539,U0099,C006,2023-04-18,49
P000540,U0099,C008,2024-02-16,29
P000541,U0099,C002,2024-08-18,89
P000542,U0099,C013,2024-08-28,69
P000543,U0099,C012,2024-10-16,49
P000544,U0099,C007,2024-11-30,19
P000545,U0100,C011,2023-09-21,79
P000546,U0100,C010,2024-01-06,49
P000547,U0100,C006,2024-02-18,49
P000548,U0100,C015,2024-05-20,89
P000549,U0100,C009,2024-06-16,39
P000550,U0100,C014,2024-06-19,79
P000551,U0100,C013,2024-07-11,69
P000552,U0100,C007,2024-07-12,19
P000553,U0100,C012,2024-07-24,49
P000554,U0100,C003,2024-09-16,79
P000555,U0100,C004,2024-11-02,99
P000556,U0100,C005,2024-11-05,49
P000557,U0101,C006,2022-11-28,49
P000558,U0101,C001,2022-12-17,99
P000559,U0101,C003,2023-02-23,79
P000560,U0101,C011,2023-11-12,79
P000561,U0101,C010,2024-01-30,49
P000562,U0101,C013,2024-09-03,69
P000563,U0101,C012,2024-11-30,49
P000564,U0102,C015,2023-10-01,89
P000565,U0102,C002,2023-10-03,89
P000566,U0102,C001,2024-03-17,99
P000567,U0102,C006,2024-08-15,49
P000568,U0102,C014,2024-09-01,79
P000569,U0102,C010,2024-11-18,49
P000570,U0103,C014,2024-07-21,79
P000571,U0103,C011,2024-09-16,79
P000572,U0103,C006,2024-12-29,49
P000573,U0104,C009,2024-03-26,39
P000574,U0104,C001,2024-06-19,99
P000575,U0104,C012,2024-08-08,49
P000576,U0104,C005,2024-08-18,49
P000577,U0105,C003,2024-02-27,79
P000578,U0105,C006,2024-09-17,49
P000579,U0105,C004,2024-09-23,99
P000580,U0105,C011,2024-11-16,79
P000581,U0105,C001,2024-12-11,99
P000582,U0106,C009,2023-06-01,39
P000583,U0106,C006,2023-06-06,49
P000584,U0106,C005,2023-07-02,49
P000585,U0106,C002,2023-08-30,89
P000586,U0106,C015,2024-07-24,89
P000587,U0106,C003,2024-11-21,79
P000588,U0106,C011,2024-11-28,79
P000589,U0107,C001,2024-08-16,99
P000590,U0107,C010,2024-08-21,49
P000591,U0107,C002,2024-12-02,89
P000592,U0108,C002,2023-12-19,89
P000593,U0108,C008,2024-03-21,29
P000594,U0108,C003,2024-11-10,79
P000595,U0108,C010,2024-11-21,49
P000596,U0109,C008,2024-03-01,29
P000597,U0109,C014,2024-04-04,79
P000598,U0109,C015,2024-09-15,89
P000599,U0109,C013,2024-09-23,69
P000600,U0109,C009,2024-11-07,39
P000601,U0110,C004,2024-12-01,99
P000602,U0110,C010,2024-12-20,49
P000603,U0111,C011,2023-03-17,79
P000604,U0112,C012,2023-01-07,49
P000605,U0112,C001,2023-07-01,99
P000606,U0112,C005,2023-07-10,49
P000607,U0112,C006,2024-02-06,49
P000608,U0112,C003,2024-04-03,79
P000609,U0113,C006,2023-11-24,49
P000610,U0113,C012,2024-01-12,49
P000611,U0113,C004,2024-05-14,99
P000612,U0113,C011,2024-05-21,79
P000613,U0113,C007,2024-06-11,19
P000614,U0113,C010,2024-10-06,49
P000615,U0113,C005,2024-11-03,49
P000616,U0114,C003,2024-12-15,79
P000617,U0115,C011,2022-05-27,79
P000618,U0115,C008,2023-09-20,29
P000619,U0115,C014,2023-10-11,79
P000620,U0115,C013,2024-05-04,69
P000621,U0115,C005,2024-11-05,49
P000622,U0116,C003,2024-07-17,79
P000623,U0116,C005,2024-07-22,49
P000624,U0116,C001,2024-07-26,99
P000625,U0116,C013,2024-08-15,69
P000626,U0116,C006,2024-09-25,49
P000627,U0116,C011,2024-10-13,79
P000628,U0116,C015,2024-11-06,89
P000629,U0116,C008,2024-11-13,29
P000630,U0116,C012,2024-11-20,49
P000631,U0116,C002,2024-12-01,89
P000632,U0116,C009,2024-12-06,39
P000633,U0117,C001,2022-02-07,99
P000634,U0117,C011,2022-07-27,79
P000635,U0117,C003,2022-08-13,79
P000636,U0117,C014,2024-06-08,79
P000637,U0117,C008,2024-10-05,29
P000638,U0118,C007,2023-12-29,19
P000639,U0118,C015,2024-01-05,89
P000640,U0118,C013,2024-01-28,69
P000641,U0118,C012,2024-02-13,49
P000642,U0118,C003,2024-03-20,79
P000643,U0118,C002,2024-05-02,89
P000644,U0118,C001,2024-06-10,99
P000645,U0118,C011,2024-07-03,79
P000646,U0118,C006,2024-08-05,49
P000647,U0118,C004,2024-10-03,99
P000648,U0119,C014,2022-12-27,79
P000649,U0119,C003,2024-12-22,79
P000650,U0120,C012,2022-08-14,49
P000651,U0120,C003,2022-08-22,79
P000652,U0120,C015,2022-09-27,89
P000653,U0120,C004,2022-10-22,99
P000654,U0120,C008,2024-01-12,29
P000655,U0120,C002,2024-08-26,89
P000656,U0120,C007,2024-10-21,19
P000657,U0120,C014,2024-12-24,79
P000658,U0121,C010,2024-11-17,49
P000659,U0121,C014,2024-12-02,79
P000660,U0122,C011,2024-08-16,79
P000661,U0122,C004,2024-09-03,99
P000662,U0122,C014,2024-09-04,79
P000663,U0122,C002,2024-11-02,89
P000664,U0122,C009,2024-11-10,39
P000665,U0122,C005,2024-11-12,49
P000666,U0122,C006,2024-11-13,49
P000667,U0122,C008,2024-11-22,29
P000668,U0122,C001,2024-12-24,99
P000669,U0123,C009,2023-03-20,39
P000670,U0123,C004,2023-04-12,99
P000671,U0123,C014,2023-06-02,79
P000672,U0123,C002,2023-08-04,89
P000673,U0123,C011,2024-03-19,79
P000674,U0123,C013,2024-12-05,69
P000675,U0124,C001,2024-03-23,99
P000676,U0124,C008,2024-07-16,29
P000677,U0124,C011,2024-07-27,79
P000678,U0124,C004,2024-08-09,99
P000679,U0124,C003,2024-08-29,79
P000680,U0124,C009,2024-09-07,39
P000681,U0124,C014,2024-11-01,79
P000682,U0124,C002,2024-11-10,89
P000683,U0125,C004,2024-07-04,99
P000684,U0125,C008,2024-08-05,29
P000685,U0125,C003,2024-08-12,79
P000686,U0125,C015,2024-10-06,89
P000687,U0126,C002,2022-12-26,89
P000688,U0126,C009,2023-03-10,39
P000689,U0126,C011,2023-04-11,79
P000690,U0126,C006,2024-01-29,49
P000691,U0127,C004,2023-02-27,99
P000692,U0127,C010,2023-05-10,49
P000693,U0127,C007,2023-08-09,19
P000694,U0127,C006,2023-11-23,49
P000695,U0127,C003,2024-02-02,79
P000696,U0128,C003,2024-03-08,79
P000697,U0128,C006,2024-03-25,49
